iter	RMSE
0	0.6620829647
1	0.6125274045
2	0.5721104981
3	0.5358731914
4	0.5067877148
5	0.4770195107
6	0.4470767671
7	0.4264912697
8	0.4063401654
9	0.3918178615
10	0.3788340509
11	0.3640427298
12	0.3514885471
13	0.3434971199
14	0.3327975728
15	0.3233168603
16	0.3170634338
17	0.3067251106
18	0.3019668987
19	0.2989090069
20	0.2945523642
21	0.2880557138
22	0.2860832506
23	0.2819340165
24	0.2766220014
25	0.2715037193
26	0.2652966432
27	0.2622974714
28	0.2596165293
29	0.2574982229
30	0.2555263292
31	0.2527430823
32	0.2500749122
33	0.2479673441
34	0.2459382988
35	0.2429470206
36	0.2398736431
37	0.23679031
38	0.2338942867
39	0.231220552
40	0.228341171
41	0.227623656
42	0.2256152876
43	0.2246501317
44	0.2225612215
45	0.2220304685
46	0.2209889411
47	0.2180170244
48	0.2154417206
49	0.2134182874
