iter	Logloss
0	0.6355629807
1	0.5693906543
2	0.5321466072
3	0.4973003944
4	0.4596109374
5	0.4371504566
6	0.4042246901
7	0.3737351777
8	0.3562121156
9	0.3416399422
10	0.3288725016
11	0.3125161733
12	0.3008868558
13	0.2884227918
14	0.2795097262
15	0.2661666165
16	0.2583721122
17	0.2530792653
18	0.2417154674
19	0.2345471816
20	0.2248480109
21	0.2202718915
22	0.2151614576
23	0.2105620492
24	0.2049479694
25	0.2020159941
26	0.1949573258
27	0.1927016419
28	0.1899265271
29	0.1852283766
30	0.1811112117
31	0.1750795387
32	0.1695892768
33	0.1665835392
34	0.1638868166
35	0.1614370136
36	0.1569164339
37	0.1554392543
38	0.1528630945
39	0.151354699
40	0.1492552887
41	0.1452816262
42	0.143605442
43	0.1413695547
44	0.1354497341
45	0.1298591423
46	0.1277678474
47	0.12586206
48	0.1244484193
49	0.1223850179
