iter	RMSE
0	0.9818789055
1	0.8666157532
2	0.7954896618
3	0.7038615229
4	0.6548678371
5	0.6115840049
6	0.561737885
7	0.5274279284
8	0.4822092729
9	0.4586851435
10	0.4430667251
11	0.4186730921
12	0.3957896622
13	0.3770508149
14	0.3518047549
15	0.3337726422
16	0.3128739098
17	0.2976701457
18	0.2886267151
19	0.2706023386
20	0.2609977419
21	0.2530918448
22	0.241114302
23	0.2335096656
24	0.2230201658
25	0.215498508
26	0.2044241888
27	0.1966687529
28	0.1853931971
29	0.1776588139
30	0.1723734425
31	0.1613309859
32	0.1576795857
33	0.1483140045
34	0.144757857
35	0.1356008726
36	0.131182186
37	0.1251579818
38	0.1193547905
39	0.1121104566
40	0.1091728138
41	0.1073657388
42	0.1026733985
43	0.09635069273
44	0.09156989974
45	0.08673913247
46	0.08223614843
47	0.07870956468
48	0.07593536019
49	0.07427376824
