iter	Passed	Remaining
0	13	2734
1	27	2730
2	41	2712
3	55	2701
4	58	2287
5	73	2363
6	75	2074
7	88	2133
8	102	2178
9	116	2222
10	131	2254
11	144	2270
12	158	2286
13	166	2206
14	180	2231
15	194	2240
16	201	2170
17	215	2181
18	230	2193
19	244	2199
20	258	2203
21	272	2203
22	286	2201
23	299	2199
24	313	2197
25	328	2195
26	342	2192
27	357	2195
28	371	2188
29	384	2181
30	398	2171
31	411	2162
32	425	2154
33	439	2145
34	440	2075
35	454	2070
36	468	2062
37	481	2053
38	495	2043
39	498	1994
40	512	1985
41	525	1976
42	539	1969
43	540	1916
44	554	1909
45	567	1900
46	574	1870
47	587	1861
48	601	1852
49	614	1843
50	628	1834
51	641	1827
52	655	1819
53	669	1810
54	682	1799
55	695	1788
56	708	1778
57	710	1738
58	723	1728
59	737	1719
60	750	1711
61	764	1701
62	777	1691
63	790	1680
64	803	1669
65	818	1661
66	832	1651
67	845	1642
68	859	1632
69	873	1622
70	887	1611
71	900	1600
72	913	1589
73	926	1578
74	940	1566
75	953	1555
76	966	1544
77	979	1532
78	993	1521
79	1006	1509
80	1019	1497
81	1032	1485
82	1045	1473
83	1058	1462
84	1062	1436
85	1075	1425
86	1088	1413
87	1101	1402
88	1115	1391
89	1129	1380
90	1143	1369
91	1156	1358
92	1170	1346
93	1184	1335
94	1197	1323
95	1204	1304
96	1217	1293
97	1231	1281
98	1244	1269
99	1257	1257
100	1270	1245
101	1284	1233
102	1297	1221
103	1310	1209
104	1323	1197
105	1330	1179
106	1343	1167
107	1356	1155
108	1369	1143
109	1383	1132
110	1397	1120
111	1410	1108
112	1423	1095
113	1436	1083
114	1449	1071
115	1463	1059
116	1476	1047
117	1489	1035
118	1502	1022
119	1516	1010
120	1529	998
121	1543	986
122	1557	974
123	1570	962
124	1584	950
125	1596	937
126	1609	925
127	1623	912
128	1636	900
129	1649	888
130	1663	875
131	1676	863
132	1689	850
133	1702	838
134	1715	826
135	1729	813
136	1742	801
137	1755	788
138	1768	776
139	1782	764
140	1796	751
141	1809	739
142	1823	726
143	1838	714
144	1852	702
145	1865	690
146	1878	677
147	1892	664
148	1906	652
149	1919	639
150	1933	627
151	1947	614
152	1960	602
153	1973	589
154	1987	576
155	2000	564
156	2014	551
157	2028	539
158	2041	526
159	2054	513
160	2067	500
161	2080	488
162	2093	475
163	2107	462
164	2120	449
165	2133	436
166	2146	424
167	2159	411
168	2173	398
169	2186	385
170	2199	373
171	2213	360
172	2226	347
173	2239	334
174	2252	321
175	2265	308
176	2278	296
177	2291	283
178	2304	270
179	2317	257
180	2331	244
181	2345	231
182	2358	219
183	2372	206
184	2385	193
185	2399	180
186	2412	167
187	2426	154
188	2439	142
189	2453	129
190	2466	116
191	2479	103
192	2493	90
193	2506	77
194	2520	64
195	2533	51
196	2547	38
197	2561	25
198	2574	12
199	2587	0
