iter	Passed	Remaining
0	16	3339
1	17	1716
2	17	1174
3	18	902
4	18	737
5	19	627
6	19	549
7	20	483
8	20	436
9	20	398
10	21	368
11	21	343
12	22	322
13	22	304
14	23	286
15	23	274
16	24	262
17	24	251
18	25	241
19	25	232
20	26	222
21	26	215
22	27	208
23	27	201
24	27	195
25	28	189
26	28	184
27	29	179
28	29	175
29	30	172
30	30	168
31	31	164
32	31	161
33	32	158
34	32	154
35	33	151
36	33	148
37	34	145
38	34	142
39	35	140
40	35	138
41	36	135
42	36	133
43	36	131
44	37	128
45	37	126
46	38	124
47	38	122
48	39	121
49	39	119
50	40	118
51	40	116
52	41	114
53	41	112
54	42	111
55	42	109
56	43	108
57	43	106
58	44	105
59	44	104
60	45	102
61	45	101
62	46	100
63	46	98
64	46	97
65	47	96
66	47	94
67	48	93
68	48	92
69	49	91
70	49	89
71	49	88
72	50	87
73	50	86
74	51	85
75	51	84
76	52	83
77	52	82
78	53	81
79	53	80
80	54	79
81	54	78
82	55	77
83	55	76
84	56	75
85	56	74
86	57	74
87	57	73
88	58	72
89	58	71
90	59	70
91	59	69
92	59	69
93	60	68
94	60	67
95	61	66
96	61	65
97	62	64
98	62	64
99	63	63
100	63	62
101	64	61
102	64	60
103	65	60
104	65	59
105	65	58
106	66	57
107	66	57
108	67	56
109	67	55
110	68	54
111	68	54
112	69	53
113	69	52
114	70	51
115	70	51
116	71	50
117	71	49
118	72	49
119	72	48
120	73	47
121	73	47
122	74	46
123	74	45
124	74	44
125	75	44
126	75	43
127	76	42
128	76	42
129	77	41
130	77	40
131	78	40
132	78	39
133	79	38
134	79	38
135	80	37
136	80	37
137	80	36
138	81	35
139	81	35
140	82	34
141	82	33
142	83	33
143	83	32
144	84	31
145	84	31
146	85	30
147	85	30
148	86	29
149	86	28
150	87	28
151	87	27
152	88	27
153	88	26
154	89	25
155	89	25
156	89	24
157	90	24
158	90	23
159	91	22
160	91	22
161	92	21
162	92	21
163	93	20
164	93	19
165	94	19
166	94	18
167	94	18
168	95	17
169	95	16
170	96	16
171	96	15
172	97	15
173	97	14
174	98	14
175	98	13
176	99	12
177	99	12
178	99	11
179	100	11
180	100	10
181	101	10
182	101	9
183	102	8
184	102	8
185	103	7
186	103	7
187	104	6
188	104	6
189	105	5
190	105	4
191	106	4
192	106	3
193	106	3
194	107	2
195	107	2
196	108	1
197	108	1
198	109	0
199	109	0
