,Operating Temperature (℃),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (μm),EW,Maximum Stability Current Density (A cm-2),Stability Test Time (h-1),CL_50
29,80,25.0,17.64,85.52915767,0.0,14.47084233,0.176470588,60.0,0.176470588,1.881641469,0.8,175,1100,3.0,1936.0,0
67,80,32.01683061,4.0,85.52915767,0.0,14.47084233,0.3333,70.0,0.3333,0.063377106,0.7,50,1100,0.25,300.0,0
26,80,27.6,86.0,85.52915767,0.0,14.47084233,0.15,20.0,0.15,0.08,0.3,175,1100,1.8,4500.0,1
51,60,22.36134449,25.0,76.72992366,2.378541997,15.30031216,1.425,46.1,0.37,1.186626985,0.4,175,1100,1.0,760.0,1
6,80,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.5,0.25,125,1100,6.0,5273.0,0
2,80,25.0,17.64,85.52915767,0.0,14.47084233,0.336689866,57.25484701,0.230980813,2.25,0.8,175,1100,2.0,1009.0,0
5,80,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.5,0.25,125,1100,2.0,4750.0,1
47,80,40.0,3.645,66.86367932,0.0,11.13280261,0.33,40.0,0.33,2.5,0.5,175,1100,1.0,50.0,0
35,80,40.0,1.0,85.52915767,0.0,14.47084233,0.25,0.0,2.0,1.5,0.0,50,1100,1.0,100.0,0
14,80,20.0,5.0,74.37742114,16.76812396,8.854454898,0.16460804,100.0,0.128906863,2.734366353,3.0,125,1100,0.2,120.0,0
36,80,4.0,5.0,74.37742114,16.76812396,8.854454898,0.188042222,30.0,0.329494887,0.34,0.1,90,1000,1.0,1000.0,1
30,35,3.0,1.0,38.48805,0.0,17.7521,0.111111111,40.0,0.333,0.288660375,0.2,50,1100,0.3,570.0,0
82,80,5.0,5.0,75.0,0.0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,3.0,100.0,0
80,60,270.0,45.54812639,85.52915767,0.0,14.47084233,2.073970786,61.07115408,1.791124577,0.256587473,0.5,175,1100,0.5,360.0,0
4,80,40.0,4.0,85.73,0.0,14.27,0.1,60.0,0.28,1.282937365,0.3,115,360,1.0,60.0,0
37,80,4.0,5.0,74.37742114,16.76812396,8.854454898,0.181193633,30.0,0.32487551,0.34,0.1,90,1000,3.0,1000.0,1
64,80,40.0,3.645,34.61,48.47,16.92,0.409308137,40.0,0.430455139,2.077,0.5,175,1100,1.0,300.0,0
1,80,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.25,0.25,125,1100,2.0,5000.0,1
78,80,9.884736133,5.0,85.52915767,0.0,14.47084233,0.25,40.0,0.5,0.4,0.1,90,980,1.0,1000.0,1
56,40,5.629181396,5.0,74.37742114,16.76812396,8.854454898,0.176,30.0,0.333,0.36458218,0.1,90,980,3.0,1000.0,1
61,80,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,0.36458218,0.1,90,1000,3.0,1000.0,1
74,80,23.18781906,8.0,85.52915767,0.0,14.47084233,0.052631579,20.0,0.331245219,0.230928726,0.31848447,50,1100,1.0,430.0,0
44,30,7.0,4.0,0.0,30.35461078,22.62905869,0.279346868,40.0,0.400496475,0.910638323,0.6,125,1100,0.25,108.0,0
27,80,25.0,17.64,85.52915767,0.0,14.47084233,0.176470588,60.0,0.176470588,1.881641469,0.8,175,1100,2.0,74.0,1
40,80,60.0,25.0,0.0,60.3,23.9,0.533299699,30.0,0.352105292,3.0,0.7,125,1100,1.0,100.0,1
42,30,7.0,4.0,0.0,75.66401816,24.33598184,0.265524335,40.0,0.380275882,2.269920545,0.6,125,1100,0.25,108.0,0
39,80,4.0,5.0,74.37742114,16.76812396,8.854454898,0.201325636,30.0,0.389774359,1.27,0.1,90,1000,3.0,1000.0,1
49,80,1.0,5.0,74.37742114,16.76812396,8.854454898,0.2,40.0,0.39,0.34,0.1,90,980,3.0,1000.0,0
53,25,5.629181396,5.0,74.37742114,16.76812396,8.854454898,0.176,30.0,0.333,0.36458218,0.1,90,980,1.0,254.0,0
32,80,60.0,25.0,0.0,75.66401816,24.33598184,1.153445715,0.0,0.960814465,2.269920545,0.7,125,1100,1.0,500.0,0
54,40,5.629181396,5.0,74.37742114,16.76812396,8.854454898,0.176,30.0,0.333,0.36458218,0.1,90,980,3.0,1535.0,0
81,60,270.0,45.54812639,85.52915767,0.0,14.47084233,2.073970786,61.07115408,1.791124577,0.256587473,0.5,175,1100,2.0,360.0,1
19,80,9.1,5.0,85.73,0.0,14.27,0.052631579,46.7,0.428571429,1.000691145,0.1,25,1100,1.0,24.0,0
34,80,4.0,5.0,74.37742114,16.76812396,8.854454898,0.176470588,40.0,0.388888889,0.3,0.1,50,980,4.0,3500.0,1
84,80,37.56499288,4.0,0.0,75.66401816,24.33598184,0.33,40.0,0.33,1.930846742,0.549794743,125,1100,1.0,22.25,0
20,90,122.8661049,8.0,85.52915767,0.0,14.47084233,0.052631579,40.0,16.66666667,1.710583153,0.96,125,1100,1.0,2300.0,1
69,80,0.1,6.76,85.52915767,0.0,14.47084233,0.505126236,30.0,0.683573239,3.421166307,1.8,175,1100,2.0,200.0,0
71,80,23.18781906,8.0,17.14285714,0.0,13.09596686,0.052631579,20.0,0.331245219,0.019885714,0.307702064,50,1100,1.0,100.0,0
12,80,1.5,5.0,100.0,0.0,0.0,0.264651442,46.0,0.491437084,1.0,0.184,50,1100,0.001,12.0,1
16,30,10.0,20.0,100.0,0.0,0.0,0.428571429,100.0,0.428571429,1.5,1.0,88,1100,0.13720471,4.0,1
28,80,25.0,17.64,85.52915767,0.0,14.47084233,0.176470588,60.0,0.176470588,1.881641469,0.8,175,1100,2.5,1026.0,1
8,80,4.166666667,100.0,85.52915767,0.0,14.47084233,0.299736894,100.0,0.113758053,1.026349892,0.4,175,1100,1.0,3000.0,1
31,35,3.0,1.0,42.76457883,0.0,17.851,0.33,40.0,0.33,0.320734341,0.2,50,1100,0.3,364.0,0
23,80,1.0,5.0,74.37742114,16.76812396,8.854454898,0.176470588,40.0,0.388888889,0.4,0.1,90,980,3.0,1000.0,1
63,80,40.0,3.645,0.0,75.66401816,24.33598184,0.419722608,40.0,0.450187228,1.891600454,0.5,175,1100,1.0,20.0,0
41,80,3.0,1.0,38.48805,0.0,17.7521,0.160804695,40.0,0.317185376,0.288660375,0.2,50,1100,0.45,646.0,0
59,80,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,1.367183177,0.1,90,1000,3.0,1000.0,1
66,80,12.94077278,5.0,59.0,0.0,16.0,0.4,40.0,1.5,0.885,0.4,125,1100,1.0,100.0,0
11,80,1.5,5.0,40.0,0.0,0.0,0.285472473,46.0,0.554027878,0.4,0.184,50,1100,0.001,13.08,1
79,60,270.0,45.54812639,85.52915767,0.0,14.47084233,2.073970786,61.07115408,1.791124577,0.256587473,0.5,175,1100,1.0,360.0,1
50,60,22.36134449,25.0,76.72992366,2.378541997,15.30031216,1.425,46.1,0.37,1.186626985,0.4,175,1100,1.0,140.0,0
43,30,7.0,4.0,0.0,23.83808219,22.38354235,0.289822109,40.0,0.285806842,0.715142466,0.6,125,1100,0.25,11.0,0
77,80,9.884736133,5.0,85.52915767,0.0,14.47084233,0.25,40.0,0.5,0.4,0.1,90,980,1.0,200.0,1
70,80,50.0,5.0,52.87553066,0.0,16.94728547,0.33,70.0,0.33,0.79313296,0.57,125,1100,0.5,500.0,1
60,80,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,0.36458218,0.1,90,1000,1.0,1000.0,1
45,30,7.0,4.0,0.0,39.10927536,22.95889891,0.299340305,40.0,0.472441305,1.173278261,0.6,125,1100,0.25,235.0,0
21,55,172.8442295,120.0,100.0,0.0,0.0,0.635637283,100.0,4.227462648,1.0,0.9,125,1100,2.0,400.0,1
24,80,50.0,4.0,85.52915767,0.0,14.47084233,0.052631579,20.0,0.428571429,0.38,0.2,50,1100,1.0,122.0,0
52,80,1.0,1.0,19.1,0.0,3.231565657,0.43,46.0,0.43,0.5,0.5,175,1100,0.3,100.0,0
13,80,1.5,5.0,40.0,0.0,12.7397,0.25658492,46.0,0.533679577,0.4,0.184,50,1100,0.001,15.0,1
