,Operating Temperature (℃),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (μm),EW,Current at 2.0 V
541,60.0,270.0,48.70743937,85.52915767,0.0,14.47084233,1.81430178,66.99913458,1.664700164,0.256587473,0.5,175.0,1100.0,1.81487
24,100.0,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.25,0.25,50.0,825.0,8.6742
191,60.0,4.0,5.0,44.62645268,10.06087438,5.312672939,0.176470588,40.0,0.388888889,0.4,0.1,50.0,980.0,4.62623
117,80.0,50.0,4.0,85.52915767,0.0,14.47084233,0.428571429,20.0,0.428571429,0.38,0.2,50.0,1100.0,3.97142
382,90.0,2.0,5.0,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,120.0,910.8087456,2.2074
482,80.0,40.0,3.645,51.42857143,0.0,15.97069593,0.283960741,40.0,0.324856585,0.514285714,0.5,175.0,1100.0,1.26414
128,80.0,3.0,1.0,38.48805,0.0,17.7521,0.142857143,40.0,0.333,0.288660375,0.2,50.0,1100.0,5.26099706
527,50.0,12.79225342,5.0,85.52915767,0.0,14.47084233,0.25,40.0,0.5,0.4,0.1,90.0,980.0,3.22561
339,80.0,5.0,5.0,75.0,0.0,17.5,0.13,4.8,0.25,1.58,0.025,50.0,1100.0,6.28665
287,40.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.25,30.0,0.5,1.367183177,0.5,125.0,1100.0,2.424
363,80.0,33.0,25.0,85.52915767,0.0,14.47084233,0.346040407,100.0,0.270084939,1.702030238,1.19,175.0,1100.0,2.36893
130,80.0,3.0,1.0,38.48805,0.0,17.7521,0.142857143,40.0,0.333,0.288660375,0.2,50.0,1099.293143,7.17667133
436,120.0,15.0,6.25,85.52915767,0.0,14.47084233,0.0,46.5,0.566669369,0.02736933,0.4,50.0,1100.0,0.46786
532,60.0,270.0,46.29038746,85.52915767,0.0,14.47084233,2.25415716,61.69268321,2.060287811,0.256587473,0.5,175.0,1100.0,1.35953
57,80.0,50.0,4.0,85.52915767,0.0,14.47084233,0.33,40.0,0.33,3.421166307,2.0,50.0,1100.0,5.20367
350,60.0,55.44484811,25.0,79.37854279,2.460646234,15.82845943,1.425,46.1,0.37,1.227587835,0.4,175.0,1100.0,1.33994
