Operating Temperature (¡æ),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (¦Ìm),EW,QUALIFIED
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=25,0.2<ICA<=0.3,40<PT<=60,0.7<ICC<=1,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0.7<ICC<=1,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,0<ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,EW<=900,QUALIFIED
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,0<ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,EW<=900,QUALIFIED
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED
70<TEMP<=80,1<PRESS<=2,3<FR<=6,AA>25,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,PURE PT,0<ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,PURE IR,RU FREE,O FREE,0.3<ICA<=0.4,40<PT<=60,0.5<ICC<=0.7,0.75<AL<=1,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,DISQUALIFIED
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,O FREE,0.2<ICA<=0.3,40<PT<=60,0.5<ICC<=0.7,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,DISQUALIFIED
