Operating Temperature (¡æ),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (¦Ìm),EW,QUALIFIED,Current at 2.0 V
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=25,0.2<ICA<=0.3,40<PT<=60,0.7<ICC<=1,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.48969
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0.7<ICC<=1,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.25883
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,0<ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,EW<=900,QUALIFIED,6.5266
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,0<ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,EW<=900,QUALIFIED,3.25241
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,3.45586
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,3.44546
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,4.43552
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.52998
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,5.76068
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,5.27783
70<TEMP<=80,1<PRESS<=2,3<FR<=6,AA>25,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,PURE PT,0<ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.13916
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,PURE IR,RU FREE,O FREE,0.3<ICA<=0.4,40<PT<=60,0.5<ICC<=0.7,0.75<AL<=1,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,DISQUALIFIED,1.30494
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,O FREE,0.2<ICA<=0.3,40<PT<=60,0.5<ICC<=0.7,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,DISQUALIFIED,1.65573
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,O FREE,0.2<ICA<=0.3,40<PT<=60,0.5<ICC<=0.7,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,2.29079
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,PURE IR,RU FREE,O FREE,0.2<ICA<=0.3,40<PT<=60,0.4<ICC<=0.5,0.75<AL<=1,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,2.09787
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0.5<ICC<=0.7,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,2.35287
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.75<ICA<1.5,PURE PT,0.7<ICC<=1,0.25<AL<=0.5,CL>0.5,MEMBRANE>175,1000<EW<=1100,DISQUALIFIED,1.45026717
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,8.11041
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,7.73737
80<TEMP<=90,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,9.12412
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,9.12412
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,DISQUALIFIED,0.66088
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,DISQUALIFIED,0.8509
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,7.12536
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,8.6742
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,8.62794
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,8.50576
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.75<AL<=1,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,8.60129
TEMP<=30,PRESS=1,6<FR<=24,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.2<ICA<=0.3,PURE PT,0.4<ICC<=0.5,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.5633
30<TEMP<=40,PRESS=1,6<FR<=24,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.2<ICA<=0.3,PURE PT,0<ICC<=0.3,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.19523
50<TEMP<=60,PRESS=1,6<FR<=24,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.2<ICA<=0.3,PURE PT,0.3<ICC<=0.4,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.75282
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,PURE PT,0<ICC<=0.3,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,4.40461
30<TEMP<=40,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,0.275544107
