"rules","support","confidence","coverage","lift","count"
"{PRESS>3} => {1000<EW<=1100}",0.0345423143350604,1,0.0345423143350604,1.32494279176201,20
"{75<IR<=85} => {15<O<=25}",0.0328151986183074,0.904761904761905,0.0362694300518135,4.5952380952381,19
"{75<IR<=85} => {1000<EW<=1100}",0.0362694300518135,1,0.0362694300518135,1.32494279176201,21
"{0.7<ICC<=1} => {AL>1.5}",0.0310880829015544,0.857142857142857,0.0362694300518135,2.18628067967275,18
"{0.7<ICC<=1} => {DISQUALIFIED}",0.0310880829015544,0.857142857142857,0.0362694300518135,1.98514285714286,18
"{0.7<ICC<=1} => {FR>24}",0.0345423143350604,0.952380952380952,0.0362694300518135,2.1969265793967,20
"{0.7<ICC<=1} => {50<MEMBRANE<=125}",0.0345423143350604,0.952380952380952,0.0362694300518135,1.71784601691144,20
"{0.7<ICC<=1} => {1000<EW<=1100}",0.0362694300518135,1,0.0362694300518135,1.32494279176201,21
"{0.7<ICC<=1} => {PRESS=1}",0.0345423143350604,0.952380952380952,0.0362694300518135,1.11625216888375,20
"{40<TEMP<=50} => {PRESS=1}",0.0345423143350604,0.833333333333333,0.0414507772020725,0.976720647773279,20
"{50<RU<=75} => {IR FREE}",0.0414507772020725,1,0.0414507772020725,15.6486486486486,24
"{IR FREE} => {50<RU<=75}",0.0414507772020725,0.648648648648649,0.0639032815198618,15.6486486486487,24
"{50<RU<=75} => {15<O<=25}",0.0414507772020725,1,0.0414507772020725,5.07894736842105,24
"{15<O<=25} => {50<RU<=75}",0.0414507772020725,0.210526315789474,0.196891191709845,5.07894736842105,24
"{50<RU<=75} => {5<AA<=25}",0.0345423143350604,0.833333333333333,0.0414507772020725,2.5,20
"{50<RU<=75} => {CL>0.5}",0.0379965457685665,0.916666666666667,0.0414507772020725,2.49178403755869,22
"{50<RU<=75} => {AL>1.5}",0.0414507772020725,1,0.0414507772020725,2.55066079295154,24
"{50<RU<=75} => {DISQUALIFIED}",0.0379965457685665,0.916666666666667,0.0414507772020725,2.123,22
"{50<RU<=75} => {FR>24}",0.0397236614853195,0.958333333333333,0.0414507772020725,2.21065737051793,23
