"rules","support","confidence","coverage","lift","count"
"{ICA>1.5} => {60<PT<100}",0.0340909090909091,1,0.0340909090909091,14.6666666666667,3
"{60<PT<100} => {ICA>1.5}",0.0340909090909091,0.5,0.0681818181818182,14.6666666666667,3
"{ICA>1.5} => {50<TEMP<=60}",0.0340909090909091,1,0.0340909090909091,11,3
"{50<TEMP<=60} => {ICA>1.5}",0.0340909090909091,0.375,0.0909090909090909,11,3
"{ICA>1.5} => {ICC>1.5}",0.0340909090909091,1,0.0340909090909091,11,3
"{ICC>1.5} => {ICA>1.5}",0.0340909090909091,0.375,0.0909090909090909,11,3
"{ICA>1.5} => {AA>25}",0.0340909090909091,1,0.0340909090909091,6.76923076923077,3
"{AA>25} => {ICA>1.5}",0.0340909090909091,0.230769230769231,0.147727272727273,6.76923076923077,3
"{ICA>1.5} => {125<MEM<=175}",0.0340909090909091,1,0.0340909090909091,4.4,3
"{ICA>1.5} => {0.25<CL<=0.5}",0.0340909090909091,1,0.0340909090909091,3.66666666666667,3
"{ICA>1.5} => {85<IR<100}",0.0340909090909091,1,0.0340909090909091,3.38461538461538,3
"{ICA>1.5} => {100<ST<=500}",0.0340909090909091,1,0.0340909090909091,3.14285714285714,3
"{ICA>1.5} => {0.25<AL<=0.5}",0.0340909090909091,1,0.0340909090909091,2.83870967741935,3
"{ICA>1.5} => {FR>24}",0.0340909090909091,1,0.0340909090909091,2.37837837837838,3
"{ICA>1.5} => {RU FREE}",0.0340909090909091,1,0.0340909090909091,1.66037735849057,3
"{ICA>1.5} => {1000<EW<=1100}",0.0340909090909091,1,0.0340909090909091,1.375,3
"{ICA>1.5} => {0<O<=15}",0.0340909090909091,1,0.0340909090909091,1.35384615384615,3
"{ICA>1.5} => {PRESS=1}",0.0340909090909091,1,0.0340909090909091,1.06024096385542,3
"{0<IR<=25} => {ST<=100}",0.0340909090909091,1,0.0340909090909091,3.38461538461538,3
"{0<IR<=25} => {RU FREE}",0.0340909090909091,1,0.0340909090909091,1.66037735849057,3
"{0<IR<=25} => {MCD<=1}",0.0340909090909091,1,0.0340909090909091,1.51724137931034,3
"{0<IR<=25} => {1000<EW<=1100}",0.0340909090909091,1,0.0340909090909091,1.375,3
"{0<IR<=25} => {0<O<=15}",0.0340909090909091,1,0.0340909090909091,1.35384615384615,3
"{0<IR<=25} => {PRESS=1}",0.0340909090909091,1,0.0340909090909091,1.06024096385542,3
"{PT FREE} => {FR>24}",0.0340909090909091,1,0.0340909090909091,2.37837837837838,3
"{PT FREE} => {MCD<=1}",0.0340909090909091,1,0.0340909090909091,1.51724137931034,3
"{PT FREE} => {1000<EW<=1100}",0.0340909090909091,1,0.0340909090909091,1.375,3
"{PT FREE} => {70<TEMP<=80}",0.0340909090909091,1,0.0340909090909091,1.35384615384615,3
"{PT FREE} => {PRESS=1}",0.0340909090909091,1,0.0340909090909091,1.06024096385542,3
"{ICA=0} => {ICC=0}",0.0454545454545455,1,0.0454545454545455,22,4
"{ICC=0} => {ICA=0}",0.0454545454545455,1,0.0454545454545455,22,4
"{ICA=0} => {ST>2500}",0.0454545454545455,1,0.0454545454545455,9.77777777777778,4
"{ST>2500} => {ICA=0}",0.0454545454545455,0.444444444444444,0.102272727272727,9.77777777777778,4
"{ICA=0} => {PURE IR}",0.0454545454545455,1,0.0454545454545455,8,4
"{PURE IR} => {ICA=0}",0.0454545454545455,0.363636363636364,0.125,8,4
"{ICA=0} => {PURE PT}",0.0454545454545455,1,0.0454545454545455,8,4
"{PURE PT} => {ICA=0}",0.0454545454545455,0.363636363636364,0.125,8,4
"{ICA=0} => {AA>25}",0.0454545454545455,1,0.0454545454545455,6.76923076923077,4
"{AA>25} => {ICA=0}",0.0454545454545455,0.307692307692308,0.147727272727273,6.76923076923077,4
