Title,Operating Temperature (¡æ),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,C wt. %,Pure_0/Supported_1,Anode Catalyst Type,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),CCM_0/GDE_1,Membrane Thickness (¦Ìm),EW,Minimum Stability Current Density (A cm-2),Maximum Stability Current Density (A cm-2),Fluctuation period (h),Stability Test Time (h-1),Decay Rate (¦ÌV h-1),CL_10,CL_50,CL_100,logDR
Degradation issues of PEM electrolysis MEAs,55,1,40,8,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,0.25,100,2.5,3,3,0,90,980,1,1,0,5700,3.3,1,1,1,0.51851394
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",80,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.25,0.25,0,125,1100,2,2,0,5000,6.8,1,1,1,0.832508913
An analysis of degradation phenomena in polymer electrolyte membrane water electrolysis,80,1,25,17.64,85.52915767,0,14.47084233,0,0,IrO2,0.336689866,57.25484701,0.230980813,2.25,0.8,0,175,1100,2,2,0,1009,194,0,0,0,2.28780173
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.73,0,14.27,0,0,Pure Oxide,0.22,60,1,1.282937365,0.3,0,125,1100,1,1,0,60,300,0,0,0,2.477121255
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.73,0,14.27,0,0,Pure Oxide,0.1,60,0.28,1.282937365,0.3,0,115,360,1,1,0,60,850,0,0,0,2.929418926
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,"3M nanostructured
thin film (NSTF)",0,100,0,0.5,0.25,0,125,1100,2,2,0,4750,-3,1,1,1,0
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,"3M nanostructured
thin film (NSTF)",0,100,0,0.5,0.25,0,125,1100,6,6,0,5273,66,0,0,1,1.819543936
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,"3M nanostructured
thin film (NSTF)",0,100,0,0.5,0.25,0,125,1100,10,10,0,5515,15,0,1,1,1.176091259
Development and performance evaluation of Proton Exchange Membrane (PEM) based hydrogen generator for portable applications,80,1.5,4.166666667,100,85.52915767,0,14.47084233,0,0,IrO2 oxide,0.299736894,100,0.113758053,1.026349892,0.4,0,175,1100,1,1,0,3000,10,1,1,1,1
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,100,0,0,0,0,Ir black,0.374007744,46,0.624647855,1,0.184,0,50,1100,0.001,0.001,0,5.8,27.49,0,1,1,1.43917474
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,40,0,0,60,1,Ir/Carbon,0.281176263,46,0.546633737,0.4,0.184,0,50,1100,0.001,0.001,0,9.16,15.28,0,1,1,1.184123354
