OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CL_2V_2A
60,40,4.5,85.52915767,0,14.47084233,3,1.4,10,2,0.025,50,1100,0
90,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0
70,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,120,870,1
60,100,5.29,100,0,0,4.545454545,100,3,0.55,0.5,175,1100,0
80,60,25,0,37.7,23.7,0.556458005,30,0.440651046,3,0.7,125,1100,0
80,1.5,5,40,0,0,0.281176263,46,0.546633737,0.4,0.184,50,1100,0
80,9.1,5,85.52915767,0,14.47084233,0.052631579,46.7,0.428571429,1.000691145,0.1,25,1100,1
58,2,25,85.52915767,0,14.47084233,0.436633416,63.88676437,0.184765936,2.138228942,0.8,175,1100,0
110,34.15885438,4,51.42857143,0,24.59807287,0.176470588,100,0.176470588,0.462857143,0.5,175,1100,0
25,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,0
80,9.267659843,1,51.317496,0,24.702,0.176470588,20,0.176470588,1.02634992,0.5,125,1100,0
60,25,4,85.52915767,0,14.47084233,0.15,40,0.2,1.282937365,0.6,175,1100,0
55,131.8694592,120,100,0,0,0.492142612,100,3.362664391,1,0.9,125,1100,1
80,40,3.645,85.52915767,0,14.47084233,0.33,40,0.33,2.5,0.5,175,1100,0
80,4,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,0.3,0.1,50,980,1
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,0.193,125,1100,1
120,15,6.25,85.52915767,0,14.47084233,0.045069975,46.3,0.417307997,0.085529158,0.4,50,1100,1
40,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,1
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,1.710583153,0.5,50,1100,1
60,25,4,85.52915767,0,14.47084233,0.15,40,0.2,0.641468683,0.6,175,1100,0
80,1.5,5,100,0,0,0.374007744,46,0.624647855,1,0.184,50,1100,0
80,77.42553304,19.99378136,85.52915767,0,14.47084233,2.5,20,1.384231215,0.171058315,0.738396482,175,1100,0
60,12.7087867,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,1
60,1.525835128,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,1
80,3,1,38.48805,0,17.7521,0.146996111,40,0.317235791,0.288660375,0.2,50,1100,1
90,4.41005401,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1
60,270,48.70743937,85.52915767,0,14.47084233,1.81430178,66.99913458,1.664700164,0.256587473,0.5,175,1100,0
80,10.30096611,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,1
80,25,17.64,85.52915767,0,14.47084233,0.176470588,60,0.176470588,1.881641469,0.8,175,1100,1
90,16.06912344,7,100,0,0,0.367998738,40,0.690019981,2,0.8,125,1100,1
60,270,47.54916178,85.52915767,0,14.47084233,1.629301042,64.40594124,1.510509545,0.256587473,0.5,175,1100,0
50,60,25,0,75.66401816,24.33598184,0.954702409,0,0.950891886,2.269920545,0.7,125,1100,0
80,233.5519686,55.55647342,85.52915767,0,14.47084233,1.128877212,100,3.166666667,0.1,0.737582154,194.3525803,1100,0
45,10,20,100,0,0,0.667,100,0.428571429,1.5,1,88,1100,0
60,270,45.42261772,85.52915767,0,14.47084233,2.281361303,60.9980463,1.796126311,0.256587473,0.5,175,1100,0
80,25,17.64,85.52915767,0,14.47084233,0.176470588,60,0.176470588,1.881641469,0.8,175,1100,1
80,13.93423115,1,51.4286,0,17.0646,0.176470588,20,0.176470588,1.028572,0.5,125,1100,0
30,60,25,0,75.66401816,24.33598184,0.991478011,0,0.895946091,2.269920545,0.7,125,1100,0
80,3,1,38.48805,0,17.7521,0.160804695,40,0.317185376,0.288660375,0.2,50,1100,1
60,44.82585946,25,79.37854279,2.460646234,15.82845943,1.425,46.1,0.37,1.227587835,0.4,175,1100,0
70,3.070466907,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1
80,2,5.096994823,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1089.811597,1
90,15,4,85.52915767,0,14.47084233,0,46.3,0.438682321,0.462011404,0.4,50.8,1100,0
60,25,4,85.52915767,0,14.47084233,0.15,40,0.2,0.855291577,0.6,175,1100,0
80,6,1,100,0,0,0.281309906,20,0.550190187,2,0.5,125,1100,0
40,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,1.5,0.1,90,980,1
90,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,1.5,0.1,90,980,1
80,3,1,38.48805,0,17.7521,0.142857143,40,0.333,0.288660375,0.2,50,1099.293143,1
80,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,125,1100,1
30,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,1
40,100,5.29,100,0,0,4.545454545,100,3,0.55,0.5,175,1100,0
