"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"AA","AA",4.39619047619048,120,"AA:AA",2.7
"AA","AL",4.46002976190476,107,"AL:AA",2.7
"AA","CL",4.57416666666667,109,"CL:AA",2.7
"AA","EW",4.32861977278221,89,"EW:AA",2.7
"AA","FR",4.00214285714286,109,"FR:AA",2.7
"AA","ICA",2.015,162,"ICA:AA",2.7
"AA","ICC",3.62776785714286,139,"ICC:AA",2.7
"AA","IR",4.30654761904762,126,"IR:AA",2.7
"AA","MT",2.53190476190476,157,"MT:AA",2.7
"AA","O",4.60717261904762,115,"O:AA",2.7
"AA","OT",3.17916666666667,148,"OT:AA",2.7
"AA","PT",4.58660714285714,106,"PT:AA",2.7
"AA","RU",4.01785714285714,73,"RU:AA",2.7
"AL","AA",3.45991071428571,131,"AA:AL",3
"AL","AL",4.00148809523809,118,"AL:AL",3
"AL","CL",3.70416666666667,123,"CL:AL",3
"AL","EW",4.14071186850375,103,"EW:AL",3
"AL","FR",2.97928571428571,130,"FR:AL",3
"AL","ICA",2.18857142857143,164,"ICA:AL",3
"AL","ICC",2.50657738095238,155,"ICC:AL",3
"AL","IR",3.33482142857143,137,"IR:AL",3
"AL","MT",1.86904761904762,168,"MT:AL",3
"AL","O",3.67005952380952,126,"O:AL",3
"AL","OT",2.10136904761905,162,"OT:AL",3
"AL","PT",3.76279761904762,122,"PT:AL",3
"AL","RU",4.01942355889724,77,"RU:AL",3
"CL","AA",3.64217261904762,135,"AA:CL",2.825
"CL","AL",4.06806547619048,117,"AL:CL",2.825
"CL","CL",4.65119047619048,108,"CL:CL",2.825
"CL","EW",4.65720933043268,84,"EW:CL",2.825
"CL","FR",3.81595238095238,116,"FR:CL",2.825
"CL","ICA",3.25619047619048,156,"ICA:CL",2.825
"CL","ICC",2.97934523809524,150,"ICC:CL",2.825
"CL","IR",4.39434523809524,125,"IR:CL",2.825
"CL","MT",2.195,167,"MT:CL",2.825
"CL","O",4.45735119047619,117,"O:CL",2.825
"CL","OT",3.12553571428571,150,"OT:CL",2.825
"CL","PT",4.65744047619048,110,"PT:CL",2.825
"CL","RU",4.14348370927318,67,"RU:CL",2.825
"EW","AA",6.86330357142857,65,"AA:EW",4.15325
"EW","AL",5.33875,82,"AL:EW",4.15325
"EW","CL",5.99345238095238,83,"CL:EW",4.15325
"EW","EW",5.08819796954315,74,"EW:EW",4.15325
"EW","FR",6.20238095238095,68,"FR:EW",4.15325
"EW","ICA",5.35452380952381,125,"ICA:EW",4.15325
"EW","ICC",6.6077380952381,108,"ICC:EW",4.15325
"EW","IR",6.74851190476191,87,"IR:EW",4.15325
"EW","MT",5.5452380952381,133,"MT:EW",4.15325
"EW","O",6.31238095238095,80,"O:EW",4.15325
"EW","OT",5.46580357142857,117,"OT:EW",4.15325
"EW","PT",6.45877976190476,65,"PT:EW",4.15325
"EW","RU",4.83427318295739,45,"RU:EW",4.15325
"FR","AA",3.7685119047619,130,"AA:FR",2.935
"FR","AL",3.96247023809524,121,"AL:FR",2.935
"FR","CL",3.81690476190476,122,"CL:FR",2.935
"FR","EW",4.70507009910563,83,"EW:FR",2.935
"FR","FR",4.4247619047619,109,"FR:FR",2.935
"FR","ICA",2.43714285714286,161,"ICA:FR",2.935
"FR","ICC",3.34738095238095,152,"ICC:FR",2.935
"FR","IR",3.72172619047619,137,"IR:FR",2.935
"FR","MT",2.52714285714286,162,"MT:FR",2.935
"FR","O",3.79360119047619,123,"O:FR",2.935
"FR","OT",3.18508928571429,149,"OT:FR",2.935
"FR","PT",3.89940476190476,124,"PT:FR",2.935
"FR","RU",3.67355889724311,83,"RU:FR",2.935
"ICA","AA",3.24613095238095,138,"AA:ICA",1.635
"ICA","AL",3.11217261904762,131,"AL:ICA",1.635
"ICA","CL",3.5102380952381,130,"CL:ICA",1.635
"ICA","EW",4.51362702441383,87,"EW:ICA",1.635
"ICA","FR",3.51,126,"FR:ICA",1.635
"ICA","ICA",2.36261904761905,167,"ICA:ICA",1.635
"ICA","ICC",3.05077380952381,150,"ICC:ICA",1.635
"ICA","IR",3.19494047619048,139,"IR:ICA",1.635
"ICA","MT",1.94380952380952,162,"MT:ICA",1.635
"ICA","O",3.44880952380952,128,"O:ICA",1.635
"ICA","OT",2.67309523809524,152,"OT:ICA",1.635
"ICA","PT",3.57767857142857,126,"PT:ICA",1.635
"ICA","RU",3.64411027568922,80,"RU:ICA",1.635
"ICC","AA",3.09363095238095,134,"AA:ICC",2.165
"ICC","AL",3.40714285714286,128,"AL:ICC",2.165
"ICC","CL",3.47273809523809,125,"CL:ICC",2.165
"ICC","EW",4.26290186125212,90,"EW:ICC",2.165
"ICC","FR",3.76952380952381,111,"FR:ICC",2.165
"ICC","ICA",2.13404761904762,162,"ICA:ICC",2.165
"ICC","ICC",2.87068452380952,153,"ICC:ICC",2.165
"ICC","IR",3.43005952380952,137,"IR:ICC",2.165
"ICC","MT",1.69809523809524,165,"MT:ICC",2.165
"ICC","O",3.52372023809524,127,"O:ICC",2.165
"ICC","OT",2.5421130952381,153,"OT:ICC",2.165
"ICC","PT",3.41071428571429,128,"PT:ICC",2.165
"ICC","RU",3.65131578947368,87,"RU:ICC",2.165
"IR","AA",4.69514880952381,115,"AA:IR",3.31
"IR","AL",4.48869047619048,108,"AL:IR",3.31
"IR","CL",4.29166666666667,118,"CL:IR",3.31
"IR","EW",5.14627145274353,80,"EW:IR",3.31
"IR","FR",4.50333333333333,104,"FR:IR",3.31
"IR","ICA",3.64119047619048,152,"ICA:IR",3.31
"IR","ICC",4.0022619047619,140,"ICC:IR",3.31
"IR","IR",5.37053571428571,109,"IR:IR",3.31
"IR","MT",3.37428571428571,155,"MT:IR",3.31
"IR","O",5.37818452380952,97,"O:IR",3.31
"IR","OT",3.67928571428571,144,"OT:IR",3.31
"IR","PT",4.46101190476191,110,"PT:IR",3.31
