"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"AA","AA",4.25328947368421,16,"AA:AA",2.8848
"AA","AL",3.29861111111111,9,"AL:AA",2.8848
"AA","CD",3.309375,4,"CD:AA",2.8848
"AA","CL",2.94429347826087,10,"CL:AA",2.8848
"AA","EW",2.81640625,2,"EW:AA",2.8848
"AA","FR",3.12572674418605,7,"FR:AA",2.8848
"AA","ICA",3.49431818181818,4,"ICA:AA",2.8848
"AA","ICC",3.42897727272727,5,"ICC:AA",2.8848
"AA","IR",3.83705357142857,9,"IR:AA",2.8848
"AA","MT",2.787109375,2,"MT:AA",2.8848
"AA","O",3.24314024390244,20,"O:AA",2.8848
"AA","OT",3.13210227272727,3,"OT:AA",2.8848
"AA","PT",3.15625,10,"PT:AA",2.8848
"AA","RU",3.06808035714286,3,"RU:AA",2.8848
"AA","ST",3.19125,10,"ST:AA",2.8848
"AL","AA",2.88815789473684,25,"AA:AL",3.372
"AL","AL",2.90277777777778,15,"AL:AL",3.372
"AL","CD",2.859375,12,"CD:AL",3.372
"AL","CL",2.90217391304348,13,"CL:AL",3.372
"AL","EW",2.51171875,6,"EW:AL",3.372
"AL","FR",2.82558139534884,12,"FR:AL",3.372
"AL","ICA",2.65482954545455,14,"ICA:AL",3.372
"AL","ICC",2.36931818181818,14,"ICC:AL",3.372
"AL","IR",2.84151785714286,15,"IR:AL",3.372
"AL","MT",2.4951171875,9,"MT:AL",3.372
"AL","O",3.20579268292683,23,"O:AL",3.372
"AL","OT",2.94602272727273,6,"OT:AL",3.372
"AL","PT",3.00284090909091,11,"PT:AL",3.372
"AL","RU",2.3046875,11,"RU:AL",3.372
"AL","ST",2.57625,18,"ST:AL",3.372
"CD","AA",4.64802631578947,15,"AA:CD",4.004
"CD","AL",2.93055555555556,16,"AL:CD",4.004
"CD","CD",3.05078125,7,"CD:CD",4.004
"CD","CL",3.3125,9,"CL:CD",4.004
"CD","EW",2.876953125,1,"EW:CD",4.004
"CD","FR",2.85683139534884,12,"FR:CD",4.004
"CD","ICA",3.08522727272727,12,"ICA:CD",4.004
"CD","ICC",2.21022727272727,16,"ICC:CD",4.004
"CD","IR",3.796875,11,"IR:CD",4.004
"CD","MT",2.6396484375,5,"MT:CD",4.004
"CD","O",3.39939024390244,20,"O:CD",4.004
"CD","OT",3.08096590909091,5,"OT:CD",4.004
"CD","PT",3.42613636363636,6,"PT:CD",4.004
"CD","RU",3.00558035714286,3,"RU:CD",4.004
"CD","ST",3.2225,10,"ST:CD",4.004
"CL","AA",3.74835526315789,21,"AA:CL",3.5416
"CL","AL",3.13194444444444,12,"AL:CL",3.5416
"CL","CD",3.14921875,9,"CD:CL",3.5416
"CL","CL",2.95788043478261,12,"CL:CL",3.5416
"CL","EW",2.787109375,3,"EW:CL",3.5416
"CL","FR",3.20566860465116,9,"FR:CL",3.5416
"CL","ICA",3.38352272727273,8,"ICA:CL",3.5416
"CL","ICC",2.95170454545455,11,"ICC:CL",3.5416
"CL","IR",3.40401785714286,15,"IR:CL",3.5416
"CL","MT",2.486328125,6,"MT:CL",3.5416
"CL","O",2.90167682926829,24,"O:CL",3.5416
"CL","OT",3.19460227272727,3,"OT:CL",3.5416
"CL","PT",3.18465909090909,9,"PT:CL",3.5416
"CL","RU",2.86383928571429,6,"RU:CL",3.5416
"CL","ST",2.60625,17,"ST:CL",3.5416
"EW","AA",6.12664473684211,5,"AA:EW",6.6336
"EW","AL",4.03472222222222,4,"AL:EW",6.6336
"EW","CD",3.07734375,5,"CD:EW",6.6336
"EW","CL",3.81657608695652,5,"CL:EW",6.6336
"EW","EW",2.9375,0,"EW:EW",6.6336
"EW","FR",3.67587209302326,2,"FR:EW",6.6336
"EW","ICA",3.86576704545455,3,"ICA:EW",6.6336
"EW","ICC",3.63636363636364,2,"ICC:EW",6.6336
"EW","IR",4.39732142857143,6,"IR:EW",6.6336
"EW","MT",2.787109375,2,"MT:EW",6.6336
"EW","O",6.37576219512195,6,"O:EW",6.6336
"EW","OT",3.30823863636364,1,"OT:EW",6.6336
"EW","PT",3.63920454545455,4,"PT:EW",6.6336
"EW","RU",2.91183035714286,3,"RU:EW",6.6336
"EW","ST",3.74625,4,"ST:EW",6.6336
"FR","AA",3.44736842105263,22,"AA:FR",3.7928
"FR","AL",2.96527777777778,15,"AL:FR",3.7928
"FR","CD",2.4890625,14,"CD:FR",3.7928
"FR","CL",3.21875,9,"CL:FR",3.7928
"FR","EW",2.6328125,4,"EW:FR",3.7928
"FR","FR",3.3219476744186,8,"FR:FR",3.7928
"FR","ICA",2.77272727272727,12,"ICA:FR",3.7928
"FR","ICC",2.9375,10,"ICC:FR",3.7928
"FR","IR",3.64285714285714,14,"IR:FR",3.7928
"FR","MT",2.69921875,4,"MT:FR",3.7928
"FR","O",3.47865853658537,22,"O:FR",3.7928
"FR","OT",3.11221590909091,5,"OT:FR",3.7928
"FR","PT",3.09659090909091,11,"PT:FR",3.7928
"FR","RU",2.65959821428571,9,"RU:FR",3.7928
"FR","ST",2.4875,22,"ST:FR",3.7928
"ICA","AA",3.88486842105263,22,"AA:ICA",4.2624
"ICA","AL",3.55902777777778,15,"AL:ICA",4.2624
"ICA","CD",3.0953125,6,"CD:ICA",4.2624
"ICA","CL",2.77717391304348,13,"CL:ICA",4.2624
"ICA","EW",2.974609375,3,"EW:ICA",4.2624
"ICA","FR",2.76671511627907,16,"FR:ICA",4.2624
"ICA","ICA",2.55113636363636,20,"ICA:ICA",4.2624
"ICA","ICC",3.0625,10,"ICC:ICA",4.2624
"ICA","IR",3.15625,18,"IR:ICA",4.2624
"ICA","MT",2.7421875,8,"MT:ICA",4.2624
"ICA","O",3.48704268292683,23,"O:ICA",4.2624
"ICA","OT",3.41335227272727,3,"OT:ICA",4.2624
"ICA","PT",3.16193181818182,12,"PT:ICA",4.2624
"ICA","RU",2.88392857142857,8,"RU:ICA",4.2624
"ICA","ST",2.9175,16,"ST:ICA",4.2624
"ICC","AA",2.60690789473684,25,"AA:ICC",3.2824
"ICC","AL",2.54861111111111,18,"AL:ICC",3.2824
"ICC","CD",2.6984375,10,"CD:ICC",3.2824
"ICC","CL",2.58967391304348,13,"CL:ICC",3.2824
"ICC","EW",2.849609375,3,"EW:ICC",3.2824
"ICC","FR",2.93313953488372,10,"FR:ICC",3.2824
"ICC","ICA",2.96377840909091,13,"ICA:ICC",3.2824
"ICC","ICC",3.15625,10,"ICC:ICC",3.2824
"ICC","IR",3.00892857142857,16,"IR:ICC",3.2824
"ICC","MT",2.6796875,8,"MT:ICC",3.2824
"ICC","O",3.20579268292683,23,"O:ICC",3.2824
"ICC","OT",2.85369318181818,9,"OT:ICC",3.2824
"ICC","PT",3.28125,10,"PT:ICC",3.2824
"ICC","RU",2.82700892857143,7,"RU:ICC",3.2824
"ICC","ST",2.635,15,"ST:ICC",3.2824
"IR","AA",3.42763157894737,23,"AA:IR",3.7632
"IR","AL",3.16319444444444,12,"AL:IR",3.7632
"IR","CD",3.0328125,6,"CD:IR",3.7632
"IR","CL",3.18070652173913,8,"CL:IR",3.7632
"IR","EW",2.970703125,1,"EW:IR",3.7632
"IR","FR",2.91933139534884,12,"FR:IR",3.7632
"IR","ICA",3.015625,10,"ICA:IR",3.7632
"IR","ICC",2.92613636363636,7,"ICC:IR",3.7632
"IR","IR",3.97321428571429,10,"IR:IR",3.7632
"IR","MT",2.642578125,6,"MT:IR",3.7632
"IR","O",4.41387195121951,18,"O:IR",3.7632
"IR","OT",3.03977272727273,6,"OT:IR",3.7632
"IR","PT",3.46306818181818,8,"PT:IR",3.7632
"IR","RU",3.25,4,"RU:IR",3.7632
"IR","ST",3.35,12,"ST:IR",3.7632
"MT","AA",5.26973684210526,12,"AA:MT",5.3472
"MT","AL",3.77777777777778,6,"AL:MT",5.3472
"MT","CD",3.215625,4,"CD:MT",5.3472
"MT","CL",3.08016304347826,7,"CL:MT",5.3472
"MT","EW",2.78515625,2,"EW:MT",5.3472
"MT","FR",3.3531976744186,8,"FR:MT",5.3472
"MT","ICA",3.46661931818182,5,"ICA:MT",5.3472
"MT","ICC",2.875,10,"ICC:MT",5.3472
"MT","IR",4.05357142857143,6,"IR:MT",5.3472
"MT","MT",2.90625,0,"MT:MT",5.3472
"MT","O",4.81173780487805,17,"O:MT",5.3472
"MT","OT",2.96590909090909,4,"OT:MT",5.3472
"MT","PT",3.33522727272727,7,"PT:MT",5.3472
"MT","RU",3.26116071428571,2,"RU:MT",5.3472
"MT","ST",3.13125,12,"ST:MT",5.3472
"O","AA",3.53782894736842,19,"AA:O",2.5536
"O","AL",3.86458333333333,8,"AL:O",2.5536
"O","CD",2.86328125,7,"CD:O",2.5536
"O","CL",2.79483695652174,11,"CL:O",2.5536
"O","EW",2.75390625,2,"EW:O",2.5536
"O","FR",3.01816860465116,9,"FR:O",2.5536
"O","ICA",3.14772727272727,12,"ICA:O",2.5536
"O","ICC",2.57670454545455,11,"ICC:O",2.5536
"O","IR",3.38169642857143,13,"IR:O",2.5536
"O","MT",2.6962890625,3,"MT:O",2.5536
"O","O",3.10365853658537,22,"O:O",2.5536
"O","OT",3.33948863636364,1,"OT:O",2.5536
"O","PT",3.46306818181818,8,"PT:O",2.5536
"O","RU",2.83816964285714,5,"RU:O",2.5536
"O","ST",3.31375,8,"ST:O",2.5536
"OT","AA",5.12171052631579,10,"AA:OT",5.7512
"OT","AL",3.32291666666667,11,"AL:OT",5.7512
"OT","CD",3.26484375,5,"CD:OT",5.7512
"OT","CL",3.75407608695652,5,"CL:OT",5.7512
"OT","EW",2.78515625,2,"EW:OT",5.7512
"OT","FR",3.35828488372093,5,"FR:OT",5.7512
"OT","ICA",3.25142045454545,6,"ICA:OT",5.7512
"OT","ICC",3.49431818181818,3,"ICC:OT",5.7512
"OT","IR",4.41741071428571,5,"IR:OT",5.7512
"OT","MT",2.8466796875,1,"MT:OT",5.7512
"OT","O",5.2217987804878,10,"O:OT",5.7512
"OT","OT",3.31818181818182,0,"OT:OT",5.7512
"OT","PT",3.85227272727273,2,"PT:OT",5.7512
