OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD15
90,15,1.21,85.52915767,0,14.47084233,0,100,0.428571429,0.085529158,0.021,50,1100,0.11198
80,40,1,85.52915767,0,14.47084233,0.25,0,2,1.5,0,50,1100,0.02213
80,1,1,19.1,0,3.231565657,0.43,46,0.43,0.5,0.5,175,1100,0.32965
60,45,22.7,85.52915767,0,14.47084233,0.15,40,0.2,0.855291577,0.6,175,1100,0.0684
80,4,5,74.37742114,16.76812396,8.854454898,0.216438027,30,0.508048208,1.27,0.1,90,1000,0.25436
90,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,0.198
80,0.5,4,85.52915767,0,14.47084233,0.3,40,0.3,1.710583153,0.24,125,1100,0.256
60,270,44.4178097,85.52915767,0,14.47084233,1.589274889,63.70239129,1.46078364,0.256587473,0.5,175,1100,0.06107
80,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,0.4,0.1,90,980,0.20937
110,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,901.8686384,0.34698
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,0.1,125,1100,0.2495
50,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,0.13808
80,60,25,0,75.66401816,24.33598184,1.370227109,0,1.32614018,2.269920545,0.7,125,1100,0.11572
80,201.9482085,50,85.52915767,0,14.47084233,0.859194778,100,4.55949173,4,4,254,1100,0.01673
80,3.333333333,25,85.52915767,0,14.47084233,0.11,46,0.35,0.607257019,0.25,125,1100,0.21845
60,51.01669281,25,80.2284846,4.689280639,15.08223476,1.425,46.1,0.37,1.273766479,0.4,125,1100,0.05484
80,60,25,0,75.66401816,24.33598184,1.153445715,0,0.960814465,2.269920545,0.7,125,1100,0.013708
40,100,5.29,100,0,0,4.545454545,100,3,0.55,0.5,175,1100,0.0679372
40,60,25,0,83.55,16.45,1.113637403,0,0.880169355,2.5065,0.7,125,1100,0.0076
80,40,3.645,85.52915767,0,14.47084233,0.402491773,40,0.457914718,2.138228942,0.5,175,1100,0.15264
50,3.343019649,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.11573
80,200.8792996,75,100,0,0,0.822986315,100,2.359664076,0.2,0.4,175,1100,0.01453
60,270,46.29038746,85.52915767,0,14.47084233,2.25415716,61.69268321,2.060287811,0.256587473,0.5,175,1100,0.09903
60,270,46.628956,85.52915767,0,14.47084233,1.664678144,63.55320148,1.524590647,0.256587473,0.5,175,1100,0.05554
80,75,50,100,0,0,0,100,0,0.5,0.25,125,1100,0.0282
80,0.5,4,74.37742114,16.76812396,8.854454898,0.3,40,0.3,2.734366353,1.2,125,1100,0.226
80,0.1,6.76,85.52915767,0,14.47084233,0.505126236,30,0.683573239,3.421166307,1.8,175,1100,0.20499
80,22.51090936,8,85.52915767,0,14.47084233,0.052631579,20,0.326732579,0.846738661,0.279104095,50,1100,0.37266
25,100,5,85.52915767,0,14.47084233,0.530536545,40,2.67583947,2.56587473,0.4,125,1100,0.00375
80,50,25,85.73,0,14.27,0.33,60,0.25,0,0.8,175,1100,0.136
60,40,4.5,85.52915767,0,14.47084233,3,20,10,2,0.05,50,1100,0.09725
40,0.836984731,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.06017
80,1,4.62,100,0,0,0.1875,66.67,0.422209462,0.08,0.6,125,1100,0.091
80,216.0759697,84.77637295,100,0,0,1.052094626,100,3.166666667,0.1,0.796856937,160.7500869,1100,0.03042
80,5,5,75,0,16.57390417,0.131221719,46.7,0.6,2,0.35,50,1100,0.09313
60,5.88203717,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,0.07411
30,10,20,100,0,0,0.111111111,100,0.428571429,1.5,1,88,1100,0.01
80,109.4797653,50,32.57142857,0,30.26987009,0.709577908,61.15418245,1.292839834,0.651428571,0.4,125,1100,0.28561
80,5,5,75,0,16.78919732,0.131221719,46.7,0.6,2,0.35,50,1100,0.04189
70,4,5,85.52915767,0,14.47084233,0.25,30,0.5,1.282937365,0.5,125,1100,0.101
60,270,47.54916178,85.52915767,0,14.47084233,1.629301042,64.40594124,1.510509545,0.256587473,0.5,175,1100,0.0583
80,500,29.16,85.52915767,0,14.47084233,1.049165401,100,6.007528044,2.03,1.05,125,1100,0.09139
80,7,4,0,75.66401816,24.33598184,0.265524335,40,0.380275882,2.269920545,0.6,125,1100,0.239
80,50,25,85.52915767,0,14.47084233,0.278863389,60,0.133623675,2.25,0.8,175,1100,0.2634
40,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,0.08599
80,250,86,0,0,0,0,68,0,0.15,0.15,175,1100,0.04736
80,20,5,74.37742114,16.76812396,8.854454898,0.158284189,100,0.119913557,2.734366353,3,125,1100,0.33282
80,177.3537945,46.44061618,85.52915767,0,14.47084233,1.25,20,2.695305855,0.342116631,0.716088856,175,1100,0.70233456
80,192.1973963,50,85.52915767,0,14.47084233,0.806166095,100,4.847154112,4,4,254,1100,0.01682
90,15,4,85.52915767,0,14.47084233,0.302569627,0,1.139246151,0.085529158,0,50,1100,0.0073
60,100,5.29,100,0,0,4.545454545,100,3,0.55,0.5,175,1100,0.16322821
40,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,0.19835
80,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,0.53629
90,43.60864492,4,85.52915767,0,14.47084233,0.176470588,100,0.176470588,0.769762419,0.5,175,1100,0.04568
60,1.525835128,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.1962
80,25,17.64,85.52915767,0,14.47084233,0.275483208,59.29664324,0.250495304,2.25,0.8,175,1100,0.14094
40,8.093331718,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,0.03428
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,0.27329
90,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,0.67542
60,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,0.15219
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,0.051,125,1100,0.05318
60,55.44484811,25,79.37854279,2.460646234,15.82845943,1.425,46.1,0.37,1.227587835,0.4,175,1100,0.03737
90,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,0.51088
40,20,25,100,0,0,0.26887693,100,0.187223176,1,0.3,121.633866,1100,0.026
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,0.35932
25,18.07778353,5,68.32740214,15.40416878,16.26842908,0.111111111,46.1,0.369863014,2.093289273,0.4,125,1100,0.0055
120,3.33,6.25,84.5,0,15.5,0.24,43.93130182,0.428571429,1.69,2,125,1100,0.418
70,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,0.13325
90,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,0.69208
60,2,25,85.52915767,0,14.47084233,0.361332014,62.14057076,0.240665267,2.138228942,0.8,175,1100,0.05815
40,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,0.00791
60,4.501619343,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.16819
80,3,1,85.73,0,14.27,0.151776541,40,0.362015213,0.642975,0.2,50,1100,0.1825
80,40,3.645,34.28571429,0,15.33368323,0.394818831,40,0.253866368,0.342857143,0.5,175,1100,0.07796
80,32.01683061,4,85.52915767,0,14.47084233,0.3333,70,0.3333,0.063377106,0.7,50,1100,0.28502
80,170.4751056,37.70187597,85.52915767,0,14.47084233,5,20,2.305975152,0.085529158,0.708260779,175,1100,0.68228765
30,10,20,100,0,0,0.428571429,100,0.428571429,1,1,88,1100,0.01
70,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,0.15118
70,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,125,1100,0.312
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,0.01279
80,40,3.645,68.57142857,0,15.12820511,1.394017747,40,1.599086947,0.685714286,0.5,175,1100,0.12847
70,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,0.35564
80,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,125,1100,0.313
80,40,5,85.52915767,0,14.47084233,0.67,40,0.67,1.2,0.5,125,1100,0.17305
60,270,51.83117186,85.52915767,0,14.47084233,1.882657881,61.06389396,1.808704345,0.256587473,0.5,175,1100,0.07948
30,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,0.02252
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,0.14549
90,37.15090098,4,51.42857143,0,24.59807287,0.176470588,100,0.176470588,0.462857143,0.5,175,1100,0.04725
80,3,1,38.48805,0,17.7521,0.146996111,40,0.317235791,0.288660375,0.2,50,1100,0.39551
80,40,1,85.52915767,0,14.47084233,0.25,60,2,1.5,0.5,50,1100,0.1473
60,270,46.72177337,85.52915767,0,14.47084233,1.760277361,66.92663957,1.478754654,0.256587473,0.5,175,1100,0.08207
80,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,0.4,0.1,90,980,0.13611
90,130.8010375,8,85.52915767,0,14.47084233,0.052631579,40,26.04166667,1.710583153,0.96,125,1100,0.09239
80,4.819154086,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.49458
50,5.629181396,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.09068
80,33,25,85.52915767,0,14.47084233,0.346040407,100,0.270084939,1.702030238,1.19,175,1100,0.31197
80,5.411068459,4,100,0,0,0.15,20,0.5,5,0.3,125,1100,0.28734
30,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,125,1100,0.064
80,5.515116088,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.55831
130,37.68568939,4,85.52915767,0,14.47084233,0.176470588,100,0.176470588,0.769762419,0.5,175,1100,0.12867
90,14.02002948,2.64287184,100,0,0,0.333017398,30,0.579518935,2.4,0.6,124.1586196,1100,0.001
80,3,1,38.48805,0,17.7521,0.142857143,40,0.333,0.288660375,0.2,50,1100,0.05104351
80,50,25,85.73,0,14.27,0.33,60,0.25,0.013,0.8,175,1100,0.16
80,300,25,85.52915767,0,14.47084233,0.1,47,0.2385,0.1,0.1,175,1100,0.20261
60,270,45.3593416,85.52915767,0,14.47084233,2.253014729,57.95189289,1.693547103,0.256587473,0.5,175,1100,0.06349
80,37.56499288,4,0,61.27392967,24.63458319,0.33,40,0.33,2.081839933,0.625464892,125,1100,0.27216
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,3.421166307,0.5,50,1100,0.50628
80,3,1,64.11,0,16.02,0.20596053,40,0.340993866,0.6411,0.2,50,1100,0.15587
30,10,20,100,0,0,0.667,100,0.428571429,1.5,1,88,1100,0.005
