OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD17
55,131.8694592,120,100,0,0,0.492142612,100,3.362664391,1,0.9,125,1100,0.61835
80,40,16,85.52915767,0,14.47084233,3,7,0.33,0.9,0.25,50,1100,1.79001
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,3.421166307,1,50,1100,2.1186
80,4,6.36097945,40,0,21.73924112,0.5,30,0.5,0.4,1,125,1100,0.42031
25,200,5,85.52915767,0,14.47084233,0.45985872,40,5.875529834,2.56587473,0.4,125,1100,0.00637
110,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.75381
90,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,1.5,0.1,90,980,2.16789
80,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,125,1100,1.638
30,10,20,100,0,0,0.428571429,100,0.428571429,1,1,88,1100,0.30498579
80,150,7,74.37742114,16.76812396,8.854454898,0.824689587,100,7.342904561,1.458328722,4,125,1100,0.386
80,3,1,85.52915767,0,14.47084233,0.33,40,0.33,0.641468683,0.2,50,1100,1.85539
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,1.59451
80,23.18781906,8,85.52915767,0,14.47084233,0.052631579,20,0.547779252,0.230928726,0.31848447,50,1100,1.26986
80,4.166666667,100,85.52915767,0,14.47084233,0.299736894,100,0.113758053,1.026349892,0.4,175,1100,0.25907
120,3.33,6.25,84.5,0,15.5,0.24,43.93130182,0.428571429,1.69,2,125,1100,1.76808
80,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,0.4,0.1,90,980,1.61231
80,4,5,74.37742114,16.76812396,8.854454898,0.201325636,30,0.389774359,1.27,0.1,90,1000,1.39561
60,25,4,85.52915767,0,14.47084233,0.15,40,0.2,1.282937365,0.6,175,1100,0.65346
80,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,911.8337149,1.00691
30,10,20,100,0,0,0.428571429,100,0.428571429,1.5,1,88,1100,0.39794
30,10,20,100,0,0,0.428571429,100,0.428571429,1.5,1,125,1100,0.21588
80,33,25,85.52915767,0,14.47084233,0.346040407,100,0.270084939,1.702030238,1.19,175,1100,1.10766
80,5,5,75,0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,2.02926
50,60,25,0,83.55,16.45,1.093165594,0,0.943999767,2.5065,0.7,125,1100,0.153
110,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,1.995
80,40,3.645,34.28571429,0,16.81318675,0.302852659,40,0.225395849,0.342857143,0.5,175,1100,0.42883
90,3.33,6.25,84.5,0,15.5,0.24,44.79338126,0.428571429,1.69,2,125,1100,1.42618
80,3,1,38.48805,0,17.7521,0.142857143,40,0.333,0.288660375,0.2,50,1100,2.00286254
60,270,46.29038746,85.52915767,0,14.47084233,2.25415716,61.69268321,2.060287811,0.256587473,0.5,175,1100,0.63095
80,13.25486226,4,100,0,0,0.15,20,0.5,5,0.3,125,602.4096386,0.64859
30,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,0.81026
90,75,50,100,0,0,0,100,0,0.25,0.25,50,825,3.28342
40,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,0.92992
50,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,0.90687
80,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,1.5,0.5,90,980,1.8555
80,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,1.89879
90,12.19259037,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,1.89163
70,149.5460768,25,85.52915767,0,14.47084233,1.639597676,100,2.206784502,0.855291577,0.3,254,1100,0.62864
90,15,1.21,85.52915767,0,14.47084233,0,100,0.428571429,0.085529158,0.021,50,1100,1.26824
50,100,5.29,100,0,0,0.909090909,100,3,0.55,0.5,175,1100,0.25952725
80,40,3.645,85.52915767,0,14.47084233,0.33,40,0.33,2.5,0.5,175,1100,0.409
30,10,20,100,0,0,0.428571429,100,0.428571429,2.5,1,88,1100,0.39163521
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,1.30892
80,1.5,5,100,0,0,0.264651442,46,0.491437084,1,0.184,50,1100,0.96434
110,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,946.4664688,0.97475
90,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.67671
80,500,29.16,85.52915767,0,14.47084233,1.164343559,100,5.153302107,2.03,1.05,79.5,869.5652174,0.52428
90,0.527671846,3.549686161,22.69920545,27.36933045,20.0014641,0.336612078,30,0.433214556,1.001370718,0.6,121.7392955,1100,0.98132
70,100,25,100,0,0,1.424291924,100,5.631522138,2,1,175,1100,0.60128
80,60,25,0,75.66401816,24.33598184,0.818160983,30,0.656443212,2.269920545,0.21,125,1100,0.25123
80,1,4.62,100,0,0,0.1875,66.67,0.422209462,0.08,0.6,125,1100,0.82265
70,33.9902841,25,85.52915767,0,14.47084233,0.302222534,100,0.284803411,0.855291577,0.3,125,1100,1.05550648
80,20,5,74.37742114,16.76812396,8.854454898,0,20,0,2.734366353,0.2,125,1100,0.64119
120,2,5.214930901,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1104.744499,0.59175
