"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"AA","AA",5.49368421052632,50,"AA:AA",3.19
"AA","AL",4.68947368421053,50,"AL:AA",3.19
"AA","CL",4.20842105263158,75,"CL:AA",3.19
"AA","EW",5.19452631578947,43,"EW:AA",3.19
"AA","FR",5.23368421052632,49,"FR:AA",3.19
"AA","ICA",4.70652631578947,67,"ICA:AA",3.19
"AA","ICC",4.21315789473684,64,"ICC:AA",3.19
"AA","IR",4.81754385964912,44,"IR:AA",3.19
"AA","MT",2.54315789473684,90,"MT:AA",3.19
"AA","O",4.69263157894737,60,"O:AA",3.19
"AA","OT",4.85673684210526,64,"OT:AA",3.19
"AA","PT",4.48147368421053,41,"PT:AA",3.19
"AA","RU",4.72503987240829,37,"RU:AA",3.19
"AL","AA",3.56273684210526,72,"AA:AL",3.01
"AL","AL",3.71052631578947,66,"AL:AL",3.01
"AL","CL",3.58063157894737,81,"CL:AL",3.01
"AL","EW",3.886,62,"EW:AL",3.01
"AL","FR",3.62526315789474,68,"FR:AL",3.01
"AL","ICA",2.83884210526316,84,"ICA:AL",3.01
"AL","ICC",3.28421052631579,75,"ICC:AL",3.01
"AL","IR",3.85614035087719,56,"IR:AL",3.01
"AL","MT",2.352,93,"MT:AL",3.01
"AL","O",3.14568421052632,77,"O:AL",3.01
"AL","OT",2.27189473684211,88,"OT:AL",3.01
"AL","PT",3.54578947368421,60,"PT:AL",3.01
"AL","RU",3.96427432216906,55,"RU:AL",3.01
"CL","AA",4.44989473684211,58,"AA:CL",1.94
"CL","AL",4.40526315789474,54,"AL:CL",1.94
"CL","CL",3.90252631578947,74,"CL:CL",1.94
"CL","EW",4.57947368421053,50,"EW:CL",1.94
"CL","FR",4.33894736842105,59,"FR:CL",1.94
"CL","ICA",3.57073684210526,77,"ICA:CL",1.94
"CL","ICC",3.36842105263158,75,"ICC:CL",1.94
"CL","IR",4.16608187134503,49,"IR:CL",1.94
"CL","MT",2.58821052631579,91,"MT:CL",1.94
"CL","O",3.99873684210526,69,"O:CL",1.94
"CL","OT",3.428,81,"OT:CL",1.94
"CL","PT",3.92652631578947,53,"PT:CL",1.94
"CL","RU",4.19170653907496,48,"RU:CL",1.94
"EW","AA",6.40294736842105,31,"AA:EW",3.64
"EW","AL",5.27368421052632,43,"AL:EW",3.64
"EW","CL",5.62063157894737,61,"CL:EW",3.64
"EW","EW",5.61473684210526,35,"EW:EW",3.64
"EW","FR",5.92842105263158,39,"FR:EW",3.64
"EW","ICA",4.89431578947368,71,"ICA:EW",3.64
"EW","ICC",5.82368421052632,48,"ICC:EW",3.64
"EW","IR",4.90292397660819,40,"IR:EW",3.64
"EW","MT",4.53768421052632,81,"MT:EW",3.64
"EW","O",5.75663157894737,44,"O:EW",3.64
"EW","OT",5.06978947368421,68,"OT:EW",3.64
"EW","PT",4.95368421052632,35,"PT:EW",3.64
"EW","RU",5.38947368421053,29,"RU:EW",3.64
"FR","AA",3.91178947368421,64,"AA:FR",3.05
"FR","AL",4.22631578947368,56,"AL:FR",3.05
"FR","CL",3.66484210526316,81,"CL:FR",3.05
"FR","EW",4.40136842105263,58,"EW:FR",3.05
"FR","FR",4.08210526315789,66,"FR:FR",3.05
"FR","ICA",3.72252631578947,79,"ICA:FR",3.05
"FR","ICC",4.42894736842105,66,"ICC:FR",3.05
"FR","IR",3.98830409356725,54,"IR:FR",3.05
"FR","MT",2.29473684210526,95,"MT:FR",3.05
"FR","O",4.57515789473684,67,"O:FR",3.05
"FR","OT",3.53326315789474,81,"OT:FR",3.05
"FR","PT",3.91852631578947,49,"PT:FR",3.05
"FR","RU",4.10717703349282,50,"RU:FR",3.05
"ICA","AA",3.02526315789474,75,"AA:ICA",1.9
"ICA","AL",3.68421052631579,67,"AL:ICA",1.9
"ICA","CL",2.63515789473684,84,"CL:ICA",1.9
"ICA","EW",3.65484210526316,66,"EW:ICA",1.9
"ICA","FR",4.01052631578947,65,"FR:ICA",1.9
"ICA","ICA",3.27652631578947,82,"ICA:ICA",1.9
"ICA","ICC",2.98157894736842,80,"ICC:ICA",1.9
"ICA","IR",3.38830409356725,63,"IR:ICA",1.9
"ICA","MT",1.83621052631579,93,"MT:ICA",1.9
"ICA","O",3.05347368421053,79,"O:ICA",1.9
"ICA","OT",2.416,87,"OT:ICA",1.9
"ICA","PT",3.36757894736842,63,"PT:ICA",1.9
"ICA","RU",3.85869218500797,57,"RU:ICA",1.9
"ICC","AA",4.05978947368421,61,"AA:ICC",2.55
"ICC","AL",4.04210526315789,61,"AL:ICC",2.55
"ICC","CL",3.00231578947368,82,"CL:ICC",2.55
"ICC","EW",4.15431578947368,61,"EW:ICC",2.55
"ICC","FR",4.38105263157895,59,"FR:ICC",2.55
"ICC","ICA",3.49094736842105,79,"ICA:ICC",2.55
"ICC","ICC",3.38157894736842,76,"ICC:ICC",2.55
"ICC","IR",3.65029239766082,58,"IR:ICC",2.55
"ICC","MT",1.63915789473684,94,"MT:ICC",2.55
"ICC","O",3.40631578947368,75,"O:ICC",2.55
"ICC","OT",2.20473684210526,90,"OT:ICC",2.55
"ICC","PT",3.77989473684211,56,"PT:ICC",2.55
"ICC","RU",3.81180223285486,54,"RU:ICC",2.55
"IR","AA",4.80778947368421,58,"AA:IR",3.5688
"IR","AL",5.13157894736842,44,"AL:IR",3.5688
"IR","CL",5.15136842105263,68,"CL:IR",3.5688
"IR","EW",4.81105263157895,50,"EW:IR",3.5688
"IR","FR",4.80210526315789,54,"FR:IR",3.5688
"IR","ICA",5.24947368421053,65,"ICA:IR",3.5688
"IR","ICC",4.60526315789474,61,"ICC:IR",3.5688
"IR","IR",4.96140350877193,38,"IR:IR",3.5688
"IR","MT",2.69642105263158,92,"MT:IR",3.5688
"IR","O",5.39831578947368,52,"O:IR",3.5688
"IR","OT",4.15978947368421,73,"OT:IR",3.5688
"IR","PT",4.53336842105263,38,"PT:IR",3.5688
"IR","RU",5.00318979266348,42,"RU:IR",3.5688
"MT","AA",4.90357894736842,53,"AA:MT",1.49
"MT","AL",4.82105263157895,49,"AL:MT",1.49
"MT","CL",4.07957894736842,71,"CL:MT",1.49
"MT","EW",5.23663157894737,43,"EW:MT",1.49
"MT","FR",5.00842105263158,51,"FR:MT",1.49
"MT","ICA",4.43947368421053,70,"ICA:MT",1.49
"MT","ICC",5.00263157894737,56,"ICC:MT",1.49
"MT","IR",4.85614035087719,38,"IR:MT",1.49
"MT","MT",4.25936842105263,83,"MT:MT",1.49
"MT","O",5.76042105263158,47,"O:MT",1.49
"MT","OT",4.36378947368421,71,"OT:MT",1.49
"MT","PT",4.93189473684211,32,"PT:MT",1.49
"MT","RU",4.43955342902711,45,"RU:MT",1.49
"O","AA",4.44989473684211,58,"AA:O",2.99
"O","AL",4.08421052631579,55,"AL:O",2.99
"O","CL",4.37431578947368,71,"CL:O",2.99
"O","EW",4.81105263157895,50,"EW:O",2.99
"O","FR",4.80631578947368,52,"FR:O",2.99
"O","ICA",3.80010526315789,76,"ICA:O",2.99
"O","ICC",4.36052631578947,64,"ICC:O",2.99
"O","IR",4.87134502923977,40,"IR:O",2.99
"O","MT",2.48294736842105,91,"MT:O",2.99
"O","O",5.06526315789474,55,"O:O",2.99
"O","OT",3.50894736842105,80,"OT:O",2.99
"O","PT",4.18421052631579,45,"PT:O",2.99
"O","RU",4.57671451355662,43,"RU:O",2.99
"OT","AA",3.31052631578947,70,"AA:OT",1.88
"OT","AL",3.57894736842105,63,"AL:OT",1.88
"OT","CL",2.87726315789474,84,"CL:OT",1.88
"OT","EW",3.27010526315789,61,"EW:OT",1.88
"OT","FR",2.84210526315789,75,"FR:OT",1.88
"OT","ICA",2.11473684210526,85,"ICA:OT",1.88
"OT","ICC",2.85789473684211,81,"ICC:OT",1.88
"OT","IR",3.5953216374269,57,"IR:OT",1.88
"OT","MT",1.91452631578947,91,"MT:OT",1.88
"OT","O",3.0021052631579,80,"O:OT",1.88
"OT","OT",3.29515789473684,79,"OT:OT",1.88
"OT","PT",3.06484210526316,59,"PT:OT",1.88
"OT","RU",3.25295055821372,60,"RU:OT",1.88
