"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"AA","AA",3.576,16,"AA:AA",2.25916666666667
"AA","AL",2.6468085106383,16,"AL:AA",2.25916666666667
"AA","CD",2.09951219512195,9,"CD:AA",2.25916666666667
"AA","CL",2.55384615384615,9,"CL:AA",2.25916666666667
"AA","EW",2.144,3,"EW:AA",2.25916666666667
"AA","FR",3.65073170731707,7,"FR:AA",2.25916666666667
"AA","ICA",3.11,12,"ICA:AA",2.25916666666667
"AA","ICC",2.70347826086957,12,"ICC:AA",2.25916666666667
"AA","IR",2.8,7,"IR:AA",2.25916666666667
"AA","MT",3.50054054054054,7,"MT:AA",2.25916666666667
"AA","O",2.65560975609756,17,"O:AA",2.25916666666667
"AA","OT",2.99771428571429,7,"OT:AA",2.25916666666667
"AA","PT",3.03809523809524,15,"PT:AA",2.25916666666667
"AA","RU",2.2,11,"RU:AA",2.25916666666667
"AA","ST",2.88695652173913,16,"ST:AA",2.25916666666667
"AL","AA",2.45777777777778,20,"AA:AL",2.86416666666667
"AL","AL",3.45276595744681,14,"AL:AL",2.86416666666667
"AL","CD",2.09951219512195,9,"CD:AL",2.86416666666667
"AL","CL",2.70461538461538,11,"CL:AL",2.86416666666667
"AL","EW",2.144,3,"EW:AL",2.86416666666667
"AL","FR",2.96878048780488,14,"FR:AL",2.86416666666667
"AL","ICA",2.72,17,"ICA:AL",2.86416666666667
"AL","ICC",3.1304347826087,9,"ICC:AL",2.86416666666667
"AL","IR",2.81333333333333,6,"IR:AL",2.86416666666667
"AL","MT",2.78810810810811,14,"MT:AL",2.86416666666667
"AL","O",1.88780487804878,21,"O:AL",2.86416666666667
"AL","OT",2.66057142857143,12,"OT:AL",2.86416666666667
"AL","PT",2.0552380952381,21,"PT:AL",2.86416666666667
"AL","RU",2.70285714285714,3,"RU:AL",2.86416666666667
"AL","ST",1.96521739130435,24,"ST:AL",2.86416666666667
"CD","AA",2.81866666666667,22,"AA:CD",4.48666666666667
"CD","AL",3.1668085106383,16,"AL:CD",4.48666666666667
"CD","CD",2.58439024390244,5,"CD:CD",4.48666666666667
"CD","CL",3.04923076923077,10,"CL:CD",4.48666666666667
"CD","EW",2.276,2,"EW:CD",4.48666666666667
"CD","FR",3.67219512195122,12,"FR:CD",4.48666666666667
"CD","ICA",2.45,18,"ICA:CD",4.48666666666667
"CD","ICC",2.82347826086957,12,"ICC:CD",4.48666666666667
"CD","IR",2.70666666666667,11,"IR:CD",4.48666666666667
"CD","MT",3.06702702702703,13,"MT:CD",4.48666666666667
"CD","O",3.81951219512195,15,"O:CD",4.48666666666667
"CD","OT",3.36228571428571,8,"OT:CD",4.48666666666667
"CD","PT",3.11809523809524,15,"PT:CD",4.48666666666667
"CD","RU",2.76571428571429,9,"RU:CD",4.48666666666667
"CD","ST",2.74086956521739,21,"ST:CD",4.48666666666667
"CL","AA",3.15644444444444,17,"AA:CL",4.13166666666667
"CL","AL",3.31574468085106,13,"AL:CL",4.13166666666667
"CL","CD",2.25073170731707,8,"CD:CL",4.13166666666667
"CL","CL",3.05846153846154,8,"CL:CL",4.13166666666667
"CL","EW",2.276,2,"EW:CL",4.13166666666667
"CL","FR",2.95219512195122,12,"FR:CL",4.13166666666667
"CL","ICA",3.24,13,"ICA:CL",4.13166666666667
"CL","ICC",2.79652173913043,15,"ICC:CL",4.13166666666667
"CL","IR",2.53333333333333,9,"IR:CL",4.13166666666667
"CL","MT",2.42810810810811,14,"MT:CL",4.13166666666667
"CL","O",3.22146341463415,14,"O:CL",4.13166666666667
"CL","OT",3.28685714285714,9,"OT:CL",4.13166666666667
"CL","PT",3.34190476190476,14,"PT:CL",4.13166666666667
"CL","RU",2.73714285714286,5,"RU:CL",4.13166666666667
"CL","ST",2.79652173913043,18,"ST:CL",4.13166666666667
"EW","AA",4.65244444444444,8,"AA:EW",6.3425
"EW","AL",3.96765957446808,9,"AL:EW",6.3425
"EW","CD",2.65560975609756,4,"CD:EW",6.3425
"EW","CL",3.26153846153846,3,"CL:EW",6.3425
"EW","EW",2.356,2,"EW:EW",6.3425
"EW","FR",3.81073170731707,7,"FR:EW",6.3425
"EW","ICA",4.09,10,"ICA:EW",6.3425
"EW","ICC",3.66869565217391,4,"ICC:EW",6.3425
"EW","IR",3.36,4,"IR:EW",6.3425
"EW","MT",3.93513513513513,2,"MT:EW",6.3425
"EW","O",4.31512195121951,7,"O:EW",6.3425
"EW","OT",3.70857142857143,5,"OT:EW",6.3425
"EW","PT",3.94857142857143,7,"PT:EW",6.3425
"EW","RU",2.94571428571429,2,"RU:EW",6.3425
"EW","ST",4.08869565217391,8,"ST:EW",6.3425
"FR","AA",2.55822222222222,21,"AA:FR",4.0075
"FR","AL",3.22978723404255,15,"AL:FR",4.0075
"FR","CD",2.65560975609756,4,"CD:FR",4.0075
"FR","CL",3.14769230769231,6,"CL:FR",4.0075
"FR","EW",2.236,2,"EW:FR",4.0075
"FR","FR",2.88878048780488,14,"FR:FR",4.0075
"FR","ICA",3.8,13,"ICA:FR",4.0075
"FR","ICC",2.65478260869565,10,"ICC:FR",4.0075
"FR","IR",2.97333333333333,3,"IR:FR",4.0075
"FR","MT",3.46378378378378,10,"MT:FR",4.0075
"FR","O",3.05560975609756,17,"O:FR",4.0075
"FR","OT",3.32228571428571,8,"OT:FR",4.0075
"FR","PT",3.77333333333333,11,"PT:FR",4.0075
"FR","RU",2.97714285714286,5,"RU:FR",4.0075
"FR","ST",2.54086956521739,21,"ST:FR",4.0075
"ICA","AA",1.56,25,"AA:ICA",2.72916666666667
"ICA","AL",1.78893617021277,22,"AL:ICA",2.72916666666667
"ICA","CD",2.27317073170732,6,"CD:ICA",2.72916666666667
"ICA","CL",2.79384615384615,9,"CL:ICA",2.72916666666667
"ICA","EW",2.116,2,"EW:ICA",2.72916666666667
"ICA","FR",2.60878048780488,14,"FR:ICA",2.72916666666667
"ICA","ICA",2.33,18,"ICA:ICA",2.72916666666667
"ICA","ICC",2.70347826086957,12,"ICC:ICA",2.72916666666667
"ICA","IR",2.29333333333333,9,"IR:ICA",2.72916666666667
"ICA","MT",2.19027027027027,16,"MT:ICA",2.72916666666667
"ICA","O",1.4419512195122,24,"O:ICA",2.72916666666667
"ICA","OT",2.98057142857143,12,"OT:ICA",2.72916666666667
"ICA","PT",2.04666666666667,18,"PT:ICA",2.72916666666667
"ICA","RU",2.73714285714286,5,"RU:ICA",2.72916666666667
"ICA","ST",3.34608695652174,20,"ST:ICA",2.72916666666667
"ICC","AA",2.05955555555556,24,"AA:ICC",3.24916666666667
"ICC","AL",2.45191489361702,21,"AL:ICC",3.24916666666667
"ICC","CD",2.20195121951219,7,"CD:ICC",3.24916666666667
"ICC","CL",2.68,12,"CL:ICC",3.24916666666667
"ICC","EW",2.144,3,"EW:ICC",3.24916666666667
"ICC","FR",2.79707317073171,15,"FR:ICC",3.24916666666667
"ICC","ICA",1.69,22,"ICA:ICC",3.24916666666667
"ICC","ICC",3.21478260869565,10,"ICC:ICC",3.24916666666667
"ICC","IR",2.65333333333333,12,"IR:ICC",3.24916666666667
"ICC","MT",2.94486486486486,11,"MT:ICC",3.24916666666667
"ICC","O",1.96585365853659,22,"O:ICC",3.24916666666667
"ICC","OT",2.98057142857143,12,"OT:ICC",3.24916666666667
"ICC","PT",2.22285714285714,19,"PT:ICC",3.24916666666667
"ICC","RU",2.74,4,"RU:ICC",3.24916666666667
"ICC","ST",1.60521739130435,24,"ST:ICC",3.24916666666667
"IR","AA",3.71555555555556,15,"AA:IR",5.025
"IR","AL",2.8468085106383,16,"AL:IR",5.025
"IR","CD",2.30439024390244,5,"CD:IR",5.025
"IR","CL",3.15384615384615,9,"CL:IR",5.025
"IR","EW",2.276,2,"EW:IR",5.025
"IR","FR",3.39219512195122,12,"FR:IR",5.025
"IR","ICA",3.31,12,"ICA:IR",5.025
"IR","ICC",2.8504347826087,9,"ICC:IR",5.025
"IR","IR",3.10666666666667,5,"IR:IR",5.025
"IR","MT",3.3427027027027,9,"MT:IR",5.025
"IR","O",3.58731707317073,11,"O:IR",5.025
"IR","OT",3.47314285714286,6,"OT:IR",5.025
"IR","PT",2.57428571428571,16,"PT:IR",5.025
"IR","RU",3.14,4,"RU:IR",5.025
"IR","ST",3.85217391304348,15,"ST:IR",5.025
"MT","AA",3.35555555555556,15,"AA:MT",3.81833333333333
"MT","AL",3.53872340425532,12,"AL:MT",3.81833333333333
"MT","CD",2.51317073170732,6,"CD:MT",3.81833333333333
"MT","CL",3.29230769230769,5,"CL:MT",3.81833333333333
"MT","EW",2.248,1,"EW:MT",3.81833333333333
"MT","FR",3.82243902439024,6,"FR:MT",3.81833333333333
"MT","ICA",3.26,15,"ICA:MT",3.81833333333333
"MT","ICC",2.96173913043478,7,"ICC:MT",3.81833333333333
"MT","IR",2.97333333333333,6,"IR:MT",3.81833333333333
"MT","MT",3.74054054054054,7,"MT:MT",3.81833333333333
"MT","O",4.19317073170732,8,"O:MT",3.81833333333333
"MT","OT",3.27314285714286,6,"OT:MT",3.81833333333333
"MT","PT",3.27714285714286,10,"PT:MT",3.81833333333333
"MT","RU",2.74,4,"RU:MT",3.81833333333333
"MT","ST",3.12695652173913,16,"ST:MT",3.81833333333333
"O","AA",2.63733333333333,19,"AA:O",3.1325
"O","AL",3.10978723404255,15,"AL:O",3.1325
"O","CD",2.53560975609756,4,"CD:O",3.1325
"O","CL",3.09230769230769,5,"CL:O",3.1325
"O","EW",2.248,1,"EW:O",3.1325
"O","FR",3.62243902439024,6,"FR:O",3.1325
"O","ICA",2.87,16,"ICA:O",3.1325
"O","ICC",3.59739130434783,6,"ICC:O",3.1325
"O","IR",2.89333333333333,6,"IR:O",3.1325
"O","MT",3.21945945945946,6,"MT:O",3.1325
"O","O",3.26146341463415,14,"O:O",3.1325
"O","OT",3.31771428571429,7,"OT:O",3.1325
"O","PT",3.57333333333333,11,"PT:O",3.1325
"O","RU",2.82,4,"RU:O",3.1325
"O","ST",2.85739130434783,14,"ST:O",3.1325
"OT","AA",4.03288888888889,9,"AA:OT",4.4425
"OT","AL",3.41872340425532,12,"AL:OT",4.4425
"OT","CD",2.54439024390244,5,"CD:OT",4.4425
"OT","CL",2.75384615384615,9,"CL:OT",4.4425
"OT","EW",2.104,3,"EW:OT",4.4425
"OT","FR",3.53073170731707,7,"FR:OT",4.4425
"OT","ICA",3.8,9,"ICA:OT",4.4425
"OT","ICC",3.1304347826087,9,"ICC:OT",4.4425
"OT","IR",3.21333333333333,3,"IR:OT",4.4425
"OT","MT",3.42054054054054,7,"MT:OT",4.4425
"OT","O",3.82731707317073,11,"O:OT",4.4425
"OT","OT",3.73942857142857,3,"OT:OT",4.4425
"OT","PT",3.61333333333333,11,"PT:OT",4.4425
"OT","RU",2.97714285714286,5,"RU:OT",4.4425
"OT","ST",3.38260869565217,13,"ST:OT",4.4425
"PT","AA",2.896,16,"AA:PT",3.28916666666667
"PT","AL",2.8468085106383,16,"AL:PT",3.28916666666667
"PT","CD",2.66926829268293,1,"CD:PT",3.28916666666667
"PT","CL",2.91384615384615,9,"CL:PT",3.28916666666667
"PT","EW",2.3,0,"EW:PT",3.28916666666667
"PT","FR",2.79219512195122,12,"FR:PT",3.28916666666667
"PT","ICA",2.4,17,"ICA:PT",3.28916666666667
"PT","ICC",3.16173913043478,7,"ICC:PT",3.28916666666667
"PT","IR",2.4,10,"IR:PT",3.28916666666667
"PT","MT",2.98702702702703,13,"MT:PT",3.28916666666667
"PT","O",2.45756097560976,16,"O:PT",3.28916666666667
"PT","OT",3.36228571428571,8,"OT:PT",3.28916666666667
"PT","PT",3.67714285714286,10,"PT:PT",3.28916666666667
"PT","RU",2.77714285714286,5,"RU:PT",3.28916666666667
"PT","ST",2.84173913043478,17,"ST:PT",3.28916666666667
"RU","AA",3.99466666666667,13,"AA:RU",5.325
"RU","AL",4.0136170212766,7,"AL:RU",5.325
"RU","CD",2.7980487804878,2,"CD:RU",5.325
"RU","CL",3.27692307692308,4,"CL:RU",5.325
"RU","EW",2.012,4,"EW:RU",5.325
"RU","FR",3.48390243902439,11,"FR:RU",5.325
"RU","ICA",3.56,9,"ICA:RU",5.325
"RU","ICC",3.40608695652174,8,"ICC:RU",5.325
"RU","IR",3.26666666666667,2,"IR:RU",5.325
"RU","MT",3.61945945945946,6,"MT:RU",5.325
"RU","O",3.90731707317073,11,"O:RU",5.325
"RU","OT",3.67314285714286,6,"OT:RU",5.325
"RU","PT",3.7247619047619,8,"PT:RU",5.325
"RU","RU",3.06571428571429,2,"RU:RU",5.325
"RU","ST",4.23826086956522,10,"ST:RU",5.325
"ST","AA",1.81955555555556,24,"AA:ST",2.56166666666667
"ST","AL",2.06893617021277,22,"AL:ST",2.56166666666667
"ST","CD",2.35317073170732,6,"CD:ST",2.56166666666667
"ST","CL",2.73846153846154,8,"CL:ST",2.56166666666667
"ST","EW",2.028,6,"EW:ST",2.56166666666667
"ST","FR",2.35707317073171,15,"FR:ST",2.56166666666667
"ST","ICA",2.34,19,"ICA:ST",2.56166666666667
"ST","ICC",2.39652173913043,15,"ICC:ST",2.56166666666667
"ST","IR",2.82666666666667,5,"IR:ST",2.56166666666667
"ST","MT",2.94594594594595,12,"MT:ST",2.56166666666667
"ST","O",3.13951219512195,15,"O:ST",2.56166666666667
"ST","OT",2.86514285714286,13,"OT:ST",2.56166666666667
"ST","PT",3.26952380952381,12,"PT:ST",2.56166666666667
"ST","RU",2.65142857142857,7,"RU:ST",2.56166666666667
"ST","ST",2.35130434782609,19,"ST:ST",2.56166666666667
