OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD,ST,CL_50
80,25,17.64,85.52915767,0,14.47084233,0.176470588,60,0.176470588,1.881641469,0.8,175,1100,3,1936,0
80,32.01683061,4,85.52915767,0,14.47084233,0.3333,70,0.3333,0.063377106,0.7,50,1100,0.25,300,0
80,27.6,86,85.52915767,0,14.47084233,0.15,20,0.15,0.08,0.3,175,1100,1.8,4500,1
60,22.36134449,25,76.72992366,2.378541997,15.30031216,1.425,46.1,0.37,1.186626985,0.4,175,1100,1,760,1
80,75,50,100,0,0,0,100,0,0.5,0.25,125,1100,6,5273,0
80,25,17.64,85.52915767,0,14.47084233,0.336689866,57.25484701,0.230980813,2.25,0.8,175,1100,2,1009,0
80,75,50,100,0,0,0,100,0,0.5,0.25,125,1100,2,4750,1
80,40,3.645,66.86367932,0,11.13280261,0.33,40,0.33,2.5,0.5,175,1100,1,50,0
80,40,1,85.52915767,0,14.47084233,0.25,0,2,1.5,0,50,1100,1,100,0
80,20,5,74.37742114,16.76812396,8.854454898,0.16460804,100,0.128906863,2.734366353,3,125,1100,0.2,120,0
80,4,5,74.37742114,16.76812396,8.854454898,0.188042222,30,0.329494887,0.34,0.1,90,1000,1,1000,1
35,3,1,38.48805,0,17.7521,0.111111111,40,0.333,0.288660375,0.2,50,1100,0.3,570,0
80,5,5,75,0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,3,100,0
60,270,45.54812639,85.52915767,0,14.47084233,2.073970786,61.07115408,1.791124577,0.256587473,0.5,175,1100,0.5,360,0
80,40,4,85.73,0,14.27,0.1,60,0.28,1.282937365,0.3,115,360,1,60,0
80,4,5,74.37742114,16.76812396,8.854454898,0.181193633,30,0.32487551,0.34,0.1,90,1000,3,1000,1
80,40,3.645,34.61,48.47,16.92,0.409308137,40,0.430455139,2.077,0.5,175,1100,1,300,0
80,75,50,100,0,0,0,100,0,0.25,0.25,125,1100,2,5000,1
80,9.884736133,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,1,1000,1
40,5.629181396,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,3,1000,1
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,3,1000,1
80,23.18781906,8,85.52915767,0,14.47084233,0.052631579,20,0.331245219,0.230928726,0.31848447,50,1100,1,430,0
30,7,4,0,30.35461078,22.62905869,0.279346868,40,0.400496475,0.910638323,0.6,125,1100,0.25,108,0
80,25,17.64,85.52915767,0,14.47084233,0.176470588,60,0.176470588,1.881641469,0.8,175,1100,2,74,1
80,60,25,0,60.3,23.9,0.533299699,30,0.352105292,3,0.7,125,1100,1,100,1
30,7,4,0,75.66401816,24.33598184,0.265524335,40,0.380275882,2.269920545,0.6,125,1100,0.25,108,0
80,4,5,74.37742114,16.76812396,8.854454898,0.201325636,30,0.389774359,1.27,0.1,90,1000,3,1000,1
80,1,5,74.37742114,16.76812396,8.854454898,0.2,40,0.39,0.34,0.1,90,980,3,1000,0
25,5.629181396,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1,254,0
80,60,25,0,75.66401816,24.33598184,1.153445715,0,0.960814465,2.269920545,0.7,125,1100,1,500,0
